Timestamp,Question 0 (Organization),Question 0 Numerical,Question 0 Comment,Question 1 (Coherent Expecations),Question 1 Numerical,Question 1 Comment,Question 2 (Assignment Use),Question 2 Numerical,Question 2 Comment,Question 3 (Assignment Value),Question 3 Numerical,Question 3 Comment,Question 4 (Feedback),Question 4 Numerical,Question 4 Comment,Question 5 (Technology Use),Question 5 Numerical,Question 5 Comment,Question 6 (Learning Climate),Question 6 Numerical,Question 6 Comment,Question 7 (Respect),Question 7 Numerical,Question 7 Comment,Question 8 (Explanations),Question 8 Numerical,Question 8 Comment,Question 9 (Helpfulness),Question 9 Numerical,Question 9 Comment,Question 10 (Course Overall),Question 10 Numerical,Question 10 Comment,Question 11 (Instructor Overall),Question 11 Numerical,Question 11 Comment,Question 12 (Expected Grade),Question 12 Numerical,Question 12 Comment,Question 13 (Required or Elective),Question 13 Numerical,Question 13 Comment,Question 14 (Hours of Work),Question 14 Numerical,Question 14 Comment,Text Question 0 (Course Strengths),Text Question 1 (Course Weaknesses),Text Question 2 (Improvements to be Made)
2016-03-22T13:54:57,Disagree,1,,Strongly Disagree,0,"Assignment instructions were very vague, resulted in students asking questions very often",Disagree,1,,Neutral,2,,Disagree,1,,Disagree,1,,Strongly Disagree,0,,Disagree,1,,Strongly Disagree,0,,Disagree,1,,Disagree,1,,Disagree,1,,70-80,3,,Elective,1,,Around 10 hours,2,"Assignments are way too long and tedious, especially for a level 100 course",,There were too many delays in uploading the modules. The instructions for assignments were really vague,Improve everything in weaknesses
2016-03-22T14:58:47,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,Good molecules. Clear to follow.,Some of the quiz questions were a little too tricky.,"Some more information should have been given on how to specifically do the assignements. If there's no text book, all the needed information  to do the The assignments should be available in the modules."
2016-03-22T15:33:35,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,,,,Strongly Agree,4,,,,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,
2016-03-22T16:00:41,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Agree,3,,Agree,3,,Agree,3,,Strongly Disagree,0,,Strongly Disagree,0,,50-60,1,,Elective,1,,Much less than 10 hours,0,,,This course was very repetitive and the material was disappointing. From a computer course I was under the impression I would learn more about computers than be forced to do useless things with excel and create websites. Most of the content was useless.,
2016-03-22T16:15:45,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Disagree,1,"not able to see answers to multiple choice questions, so i dont know how i really did, what i understood or didnt understand",Agree,3,,,,,,,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,80-90,4,,Elective,1,i am an arts student in cs- so very different from my major!,Less than 10 hours,1,"probably over 5, less than 10","relevant material
i assume it is difficult to explain, so considering, it was explained fairly well","some parts were fairly confusing, i especially struggled with the excel functions","open up the quiz answers so i can review them, use as study notes
still unsure how i should/can prepare for the final exam"
2016-03-22T18:03:30,Neutral,2,,Disagree,1,,Neutral,2,,Agree,3,,Disagree,1,,Disagree,1,,Disagree,1,,Strongly Disagree,0,,Strongly Disagree,0,,,,,Neutral,2,,Disagree,1,,70-80,3,,Required,0,,Much less than 10 hours,0,,,,
2016-03-22T18:44:17,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Less than 10 hours,1,,Great explanation. Follows material in logical order which students can follow.,That assignments are multiple choice and also practical. Sometimes there are too many aspects in an assignment.,Make assignments more simple. Two two to three different parts.
2016-03-22T20:49:33,Neutral,2,,Strongly Disagree,0,,Neutral,2,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,Neutral,2,,Disagree,1,,Neutral,2,,Agree,3,,Disagree,1,,70-80,3,,Elective,1,,Around 10 hours,2,,,,
2016-03-22T20:54:11,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,,,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Agree,3,,,,,Strongly Agree,4,,,,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,
2016-03-22T22:23:47,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Agree,3,,,,,,,,,,,Agree,3,,Strongly Disagree,0,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,
2016-03-22T23:03:40,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,,,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,80-90,4,,Required,0,,Less than 10 hours,1,,,,
2016-03-23T00:16:25,Strongly Disagree,0,THE most disorganized course I've taken in my undergrad,Disagree,1,,Agree,3,,Agree,3,,Disagree,1,,Strongly Disagree,0,,,,,Disagree,1,,Neutral,2,,Strongly Disagree,0,,Disagree,1,,Disagree,1,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,"very unorganized.. 
TAs and instructor did not respective the deadline the assignments should be posted on multiple occasions which was annoying",
2016-03-23T09:13:13,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,
2016-03-23T09:15:49,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,
2016-03-23T09:46:40,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,,,,Agree,3,,,,,80-90,4,,Required,0,,Around 10 hours,2,,"Self paced, practical applications","Since its online, it becomes a hassle compared to the day courses",Instructional videos for excel or html formulae and code so the assignments aren't as confusing (as they were)
2016-03-23T10:43:12,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,"The course content is organized effectively week by week, and feedback and assistance were timely and responsive.",N/A,It might potentially help to have an online final assignment rather than a written exam to best suit this course's content.
2016-03-23T12:02:10,Neutral,2,,Neutral,2,,Disagree,1,,Disagree,1,,Disagree,1,,Neutral,2,,Neutral,2,,Neutral,2,,Disagree,1,,Neutral,2,,Disagree,1,,Neutral,2,,60-70,2,,Elective,1,,Less than 10 hours,1,,The website and wyiz building because they are most usable,The first few modules on excel etc,More specific in requirements for activities and clearer on particular elements we are required to replicate. The assignments were redundant and very time consuming becaue of the level of difficulty.
2016-03-23T12:08:27,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Around 10 hours,2,,Assignments put learning objectives into perspective. Well laid out course.,Assignments could be a little vague sometimes.,Nothing I can think of. Well done!
2016-03-23T12:14:31,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,
2016-03-23T12:38:09,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,,,,Agree,3,,,,,Neutral,2,,,,,60-70,2,,Elective,1,,Less than 10 hours,1,,Basic understandings of computer functions.,"Online course is not very engaging, difficult to stay motivated and get questions answered.",Videos or audio would be more interesting than simply reading material every week.
2016-03-23T12:41:59,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Neutral,2,,Disagree,1,,Agree,3,,Neutral,2,,Neutral,2,,Strongly Agree,4,,Agree,3,,Disagree,1,,Neutral,2,,70-80,3,,Required,0,,Less than 10 hours,1,,,The TA's don't specify when they give extensions until which day at an earlier time.,
2016-03-23T12:51:07,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,Educational and clearly laid out for tech-idiots.,None,None
2016-03-23T13:12:46,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,The material was explained very well.,,"I think the only thing that could improve the teaching would be include more examples, for example the videos"
2016-03-23T15:03:02,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,70-80,3,,Elective,1,,Around 10 hours,2,,a wide variety of help opportunities when needed,,In my opinion this course might be better as a physical course rather than an online course
2016-03-23T15:03:54,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Strongly Agree,4,,Neutral,2,,80-90,4,,Required,0,,Less than 10 hours,1,,,,
2016-03-23T16:00:05,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,im not sure what information had came from the professor. Only personal messages i received were from the TAs,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,70-80,3,,Required,0,,Around 10 hours,2,,The format of the assignments,Not all content for quizzes is found in the content section. Excel unit was challenging and parts of it seemed purposeless or just challenging for no reason. (horizontal Vlookups),
2016-03-23T19:50:03,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,
2016-03-23T23:20:18,Agree,3,,Agree,3,"for future, maybe include all the skills of coding and excel functions we need to know as sometimes i feel we have to also teach ourselves new functions as we do not know it. Overall, excellent notes",Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,,,,Elective,1,,Around 10 hours,2,,"the modules, having office/ chat hours, and fast response to email and having excellent ISAs","sometimes some of the modules can be hard to understand, and can be clearer but overall excellent course",can teach how to code in C
2016-03-24T01:06:50,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,Less than 10 hours,1,,"good communication and deadline extensions from TA's 
I liked the 7 late days allowed",,
2016-03-24T10:12:52,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,Course presentation was good,Instructor availability on campus,More videos to demonstrate how things are done
2016-03-24T19:48:14,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Agree,3,,Disagree,1,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Disagree,1,,80-90,4,,Required,0,,Around 10 hours,2,,You are well aware of your deadlines and have one week to complete each module. This is a direct reflection of how well you are able to manage your time and are able to work around scheduling.,"Much of the assignments are left to the student to interpret how the instructor wants it done. Any further clarification would have been done via e-mail and the rate of responsiveness depends on the availability of the instructor/IA's. In addition, because this course is online, it requires those unable to ""study"" effectively from a screen to hand write, or print out the notes.",Nothing more than what is already being done.
2016-03-25T13:09:16,Strongly Agree,4,,Agree,3,"Some things in the assignments were not found in the lessons, which may be frustrating for some. On the flip side it encourages self teaching, which seems important in CS.",Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,"A little to aggressive on the ""Do not contact us for X and X reasons"", but I guess that's fair given how many students are probably being taught.",Strongly Agree,4,"If by instructor, you mean the written components, then yes.",Agree,3,,Agree,3,,Agree,3,,80-90,4,,Required,0,,Less than 10 hours,1,,Gives a good intro to CS.,,"Please cover basic Python, even the most rudimentary stuff. I have been self teaching it to myself on the side through the free course that Waterloo just put out and am loving it. I wish that CS 100 would cut out the basic computer module (ie. ""What is hardware"", ""What is software"") and put a module about Python."
2016-03-25T14:29:49,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,"I learned so many new things about Microsoft Excel, and html, and just stuff to do with computers. It was a good and knowledgeable course to take.","In terms of course content, I found most things to be useful, so not much weakness n the course.","I really like how the class is set up, with the late days, time to do each assignment, and assignments aren't too long or hard either. So personally, I think the course is fine as it is."
2016-03-26T18:17:31,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,80-90,4,,Elective,1,,Around 10 hours,2,,,,"Modules for the ""excel"" unit weren't as well put or helpful as I wanted to be. I was more dependent on videos on the internet for my learning."
2016-03-27T09:05:38,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,,,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,70-80,3,,Elective,1,,Around 10 hours,2,,,,
2016-03-27T12:48:20,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Around 10 hours,2,,"The pace, and the way the content is introduced.",The lack of video tutorials.,"Since it is a CS course, I think some tutorials would have been very helpful with learning how to code. With tutorials, the teacher can point out the important syntax errors/ key points so that there is more benefit as opposed to when the student, who has little to no experience with HTML and JavaScript, has to look for these things."
2016-03-27T19:00:10,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Required,0,,Less than 10 hours,1,,,,
2016-03-27T20:57:11,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,More than 10 hours,3,,Easy to follow and assignments were very helpful in both practical and theoretical.,,
2016-03-28T09:38:00,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,The fact that there are weekly assignments and deadlines helps me keep on top of my work,"Being an online course can be a positive or a negative thing depending on the person, but for me I think I would be more motivated if the material was taught in class, especially the first few units, even if it is one class per week.",To have more office hours/ chat hours. especially in person
2016-03-28T10:16:02,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,
2016-03-28T10:55:10,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,,,,,,,,,,,,,,,,,,,Required,0,,Around 10 hours,2,,,,
2016-03-28T11:35:35,Neutral,2,,Disagree,1,,Disagree,1,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Strongly Agree,4,,Neutral,2,,80-90,4,,Elective,1,,Around 10 hours,2,,it helped me understand more about computers,way too many unnecessary definitions,too take out the pointless definitions and try not to overcomplicate the content
2016-03-28T12:26:52,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,"Good notes, strong emphasis on the important points",more detailed examples,Online how to tutorials
2016-03-28T19:06:50,Disagree,1,,Disagree,1,,Disagree,1,,Strongly Agree,4,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,Through finding and reading materials outside of what was given by the course,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,A lot of assignment,materials are disorganized and incomplete. Trying to achieve too much in too little time. HTML and CSS should be a course of its own.,
2016-03-29T11:09:43,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,
2016-03-29T11:11:03,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,
2016-03-29T11:18:32,Neutral,2,,Neutral,2,,Disagree,1,,Neutral,2,,Disagree,1,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Disagree,1,,Disagree,1,,70-80,3,,Elective,1,,Much more than 10 hours,4,,,Does not properly explain the basics of html need to google most things,More readings regarding html and more examples to help with assignments
2016-03-29T12:20:59,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Disagree,1,,Agree,3,,Disagree,1,,Agree,3,,Disagree,1,,,,,Agree,3,,,,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,"I took this course for a basic understanding in computer technology, and though I have learnt a lot, I think that a lot of the information provided in the modules assumes that students already have some understanding for the computer programs. I found especially with the excel modules, that this was true. I have a decent background with excel, however, some of the assignments and practice questions left unclear explanations and sometimes I didn't have any idea of what formula to use or what steps to take to figure it out. 
Not all the formulas were provided to us and it was extremely difficult to figure it out on my own. Some assignments (HTML) were not given feedback, and it would have been really helpful for the following assignments to know where you went wrong before so you can actually correct for your mistakes. Linking the .css and .html was very unclear.","The instructions for assignments were unclear, lots of unnecessary information. Would have liked to see more in depth learning about excel graphs, as they have been a big part of lab components of my courses and they are not always as simple as the ones that are presented in this course."
2016-03-29T12:32:31,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Disagree,1,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,
2016-03-29T12:52:39,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Required,0,,Less than 10 hours,1,,,,
2016-03-29T14:07:44,Neutral,2,,Strongly Disagree,0,,Neutral,2,,Agree,3,,Strongly Disagree,0,,Strongly Agree,4,,Disagree,1,,Strongly Disagree,0,,Strongly Disagree,0,,,,,Agree,3,,Strongly Disagree,0,,80-90,4,,Elective,1,,Around 10 hours,2,,Learning programs and functions in the assignments,"Some of the modules were not very effective in my opinion, they need a little more hands components while you are going through them.","I never really heard from the instructor. I understand there are TAs, but even with my previous online courses the instructors definitely made more of an appearance."
2016-03-29T15:04:59,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,80-90,4,,Required,0,,Less than 10 hours,1,,"organization
TA assistance",weekly assignments,
2016-03-29T15:35:43,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,,,,Agree,3,,,,,80-90,4,,Elective,1,,Much less than 10 hours,0,,The assignments that were not quizzes were extremely helpful,,Keep the module on security. I think that topic is very important
2016-03-29T16:06:32,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,"Content was presented in an easy to understand manner. Assignments were fair and helped me learn the content as I went along.

Use of LEARN discussion boards was helpful.",Some of the content was quite boring (first few weeks).,I wish there were another excel module and we could have learned other things like pivot tables.
2016-03-29T17:59:52,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,
2016-03-29T19:36:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-29T20:36:09,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,80-90,4,,Required,0,,Less than 10 hours,1,,,,
