Organization,Explanations,Questions,Visual Presentation,Oral Presentation,Availability,Interest,Effectiveness,Attendance,Assigned Work,Printed Notes,Textbook,New Material,Assigned Work Amount,Hours Per Week,Text Comments
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Helpful,Very helpful,No text required,Okay,Somewhat too much,> 15 hours,"What instructor has done well: Dave is the funniest teacher in CS135!!
Also very helpful and friendly
Class atmosphere: No
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Very Helpful,Somewhat too much,Somewhat too much,7-10 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,No opinion,No opinion,No text required,Okay,Somewhat too much,7-10 hours,"What instructor has done well: Making the course feel extremely interesting.
Course's strong points: Dave Tompkins and Lego Movie
Course's weak points: Dave is flawless
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,No opinion,No opinion,Okay,Somewhat too much,3-6 hours,"What instructor has done well: * Examples were very good at adding to an understanding of the concepts
* playing clips of a movie beforehand motivated students to arrive on time
Other Comments: Class size was good, though even with glasses it was a little tricky to see the screen from the very back.
"
Excellent,Just Right,Good,Excellent,Excellent,Often enough,No opinion,Excellent,90-100%,Helpful,No printed notes,No text required,Okay,Somewhat too much,3-6 hours,
Excellent,Somewhat too low,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Helpful,No opinion,Somewhat too little,Somewhat too little,3-6 hours,"What instructor has done well: Real life application of concepts. Ie: evolution trees
Improvements to technique or style: More class participation
More jokes
Show us interesting things that can be done in racket
Needs less lightsabres, more racquets
Course's strong points: Dave.
Course's weak points: Make the assignment all the same difficulty
We were stuck on beginner student for a long time, while some concepts such as trees, locals were very quick.
Class atmosphere: Too many people sleeping, on Facebook, etc.
Other Comments: Teach more cs136 sections in winter 2016
"
Good,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Helpful,Helpful,No text required,Okay,Somewhat too much,7-10 hours,"What instructor has done well: The course was really interesting and Dave did a great job explaining things and keeping the class's attention.
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Helpful,Helpful,No text required,Okay,Okay,7-10 hours,"What instructor has done well: He taught the class in a very creative manner, was clear and well organized with each lecture.
Improvements to technique or style: None
Course's strong points: It is a good course for teaching students that have little to no programming experience.
Course's weak points: I didn't like the design recipes or templates because I was able to do all questions without the use of them.
Class atmosphere: I really liked the atmosphere, it was relaxing and and it was an open environment.
Other Comments: No
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,No printed notes,Helpful,No opinion,Somewhat too much,11-15 hours,"What instructor has done well: good oral speech!
Other Comments: The assignments load is a little bit too much. But I really think some of the assignment is unfair! (such as assignment 9!) The professor should really put more emphasis on practicing our cs skills instead of reading skills when they write the assignment!!!
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Very Helpful,Okay,Okay,7-10 hours,"What instructor has done well: Great presentation skills, made 135 memorable.
Selected the same prof for 136 for this purpose
Improvements to technique or style: Was great
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Helpful,No printed notes,No text required,Okay,Okay,7-10 hours,"What instructor has done well: Literally everything! The funny, casual comments were great.
Improvements to technique or style: More funny jokes and comments because they are so good. They keep things interesting and help me stay focused during the lecture. But I understand that you are a prof and not a comedian. However you'd be a good comedian but I'm not saying you're not a good prof. A perfect professor though, if you were wondering.
Course's strong points: Racket. So cool.
Course's weak points: Huge focus on recursion over ""for loops""? There probably are great reasons but none I know of. Not enough stepper questions for practice but it was a huge chunk on midterms.
Class atmosphere: I thought it was very positively affected. The ""not-too-serious"" style that you brought kept attitudes positive and friendly.
Other Comments: The space for each student is tiny. I sit in one of the farthest rows and I can hear your voice very clearly, thank you. The class was pretty quiet except for laughter.
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,No opinion,No text required,Okay,Somewhat too much,11-15 hours,"What instructor has done well: Has a way of keeping everyone concentrated and has fun with the course
Improvements to technique or style: Dave is at the peak of his game. There is nothing he can improve on because he is perfect.
Course's strong points: Really did a great job of introducing us to functional programming since no one had ever heard of racket before.
Course's weak points: Some assignments were a little too hard
Class atmosphere: Everything was good :)
Other Comments: Dave was the best prof ive had so far, and my favourite teacher of all time basically. Such an interesting person!
"
Good,Just Right,Satisfactory,Good,Good,Not often enough,Interesting,Good,90-100%,Helpful,No printed notes,No opinion,Somewhat too much,Okay,7-10 hours,"What instructor has done well: Good examples
Course's strong points: all of content is pretty interesting
Course's weak points: got .rkt on midterms
Class atmosphere: neutral
Other Comments: Good size room in RCH
"
Excellent,Somewhat too high,Excellent,Excellent,Excellent,Often enough,Interesting,Excellent,90-100%,Very helpful,Helpful,No text required,Somewhat too much,Somewhat too much,> 15 hours,"What instructor has done well: implementation of Chinese dialects into loops.
Improvements to technique or style: Too much Chinese.
Course's strong points: The bonus Cantonese assignment.
Course's weak points: My grade.
Class atmosphere: The preferential treatment given to native mandarin speakers was unfair.
Other Comments: I thought this was an english university.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Most of the time,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Very Helpful,Okay,Somewhat too much,11-15 hours,"What instructor has done well: Everything... the course can be pretty dry at times but Dave never failed to entertain the class and keep them engaged.
Course's strong points: The instructor!!!
Course's weak points: some assignments were a little too difficult, and midterm 2 was too long to perform well in the time given
Other Comments: Please give Tompkins a bigger room so he can teach more people!
"
Excellent,Somewhat too high,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Helpful,No text required,Somewhat too much,Somewhat too much,11-15 hours,"What instructor has done well: Great lectures, I could absorb the course material easily.
Improvements to technique or style: More interactions with students other than by clickers.
Course's strong points: Easy to understand and interesting.
Course's weak points: Some of the advanced concepts, such as trees and application of foldr could be explored more thoroughly.
Class atmosphere: Positive atmosphere always.
"
Excellent,Somewhat too high,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,Very helpful,Helpful,Somewhat too much,Okay,7-10 hours,
Excellent,Somewhat too high,Excellent,Satisfactory,Excellent,I did not seek help,Interesting,Excellent,90-100%,Helpful,Helpful,No text required,Somewhat too much,Too much,11-15 hours,"What instructor has done well: hands down the best instructor i had all term.
Course's weak points: the lambda class notes did not help at all.
"
Excellent,Just Right,Good,Good,Excellent,I did not seek help,Interesting,Excellent,90-100%,Helpful,No opinion,No opinion,Okay,Okay,3-6 hours,"What instructor has done well: Made the class interesting
Improvements to technique or style: None
Course's strong points: Having all slides available online
Course's weak points: Design recipe
Class atmosphere: No
Other Comments: None
"
Good,Somewhat too high,Good,Good,Excellent,Most of the time,Interesting,Good,90-100%,Very helpful,No printed notes,Helpful,Somewhat too much,Somewhat too much,11-15 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Not Helpful,Okay,Somewhat too much,7-10 hours,"What instructor has done well: Everything. Having Dave Tompkins as a teacher was a blast. He consistently kept the course interesting, even when he said it would be dry. I hope to have him again next term/year, but apparently those classes fill up faster than a mall on black friday.
Course's strong points: This course is very well organized. Every teacher taught the same things, and the exams/assignments were fair for anyone in any class. There were also lots of good resources to help you if you were having trouble, something a lot of other courses lack.
Class atmosphere: Dave often made (I assume) everyone feel comfortable in class. Lots of jokes were made, and he shared a lot of relevant personal stories, allowing you to make a connection with him, which helped me pay attention more. Very good teacher.
"
Excellent,Just Right,Satisfactory,Good,Excellent,I did not seek help,Interesting,Excellent,90-100%,Helpful,Not helpful,Helpful,Okay,Too much,11-15 hours,"What instructor has done well: Make the material very interesting
Improvements to technique or style: Little fast when go through slides
Course's strong points: Good for starters
Course's weak points: Some assignments are way too much, design receipt, especially tests
Class atmosphere: No
Other Comments: Smaller class
"
Excellent,Too high,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Helpful,Helpful,No text required,Too much,Too much,> 15 hours,"What instructor has done well: He is funny and explained new material well.
"
Excellent,Just Right,Excellent,Good,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Not helpful,Helpful,Okay,Somewhat too much,7-10 hours,"What instructor has done well: Dave Tompkins made every lecture entertaining and educational. His passion for Dr. Racket motivated me.
Improvements to technique or style: Sometimes, it would be hard to understand the slide deck at home.
Course's strong points: Very interesting to learn programming in a new language.
Course's weak points: Some assignments and that design recipe monster.
Class atmosphere: The class was very inclusive and positive.
Other Comments: Loved the LEGO movie and the jokes.
"
Excellent,Somewhat too high,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,75-90%,Very helpful,Very helpful,Not Helpful,Okay,Somewhat too much,> 15 hours,"What instructor has done well: Oral presentation, keeping the class interested.
Improvements to technique or style: Dave is perfect.
Course's strong points: The assignments really helped me understand the material and the movie was good.
Course's weak points: The assignments were too hard.
Other Comments: We should have a room with outlets since most people use their laptops.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Not Helpful,Okay,Okay,3-6 hours,"What instructor has done well: Very engaging, I now love and respect Racket thanks to Dave
Course's strong points: Covering and explaining all the advanced tree and recursion nonsense using the ""two voice method""
Course's weak points: The course has a bit of a slow uptake
"
Excellent,Just Right,Good,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Helpful,No opinion,Okay,Somewhat too much,> 15 hours,"What instructor has done well: Explaining how trickier concepts would work using examples, such as the clone idea for recursion and the big voice/small voice for mutual recursion.
Improvements to technique or style: I know you didn't write Assignment 9, but I feel like we would have been more prepared and less overwhelmed if we had gone through some examples of nested foldrs in class.
Course's strong points: Assignments had some humour/interesting portions (except for assignment 9)
Course's weak points: Workload is a little massive for someone with no prior CS experience. For the most part, I enjoyed the challenge but sometimes I miss having friends other than DrRacket on the weekends.
Class atmosphere: Not really, but sometimes in class I like to count how many guys there are between me and the next girl. My record is 20!
Other Comments: CAN WE WATCH HOW TO TRAIN YOUR DRAGON 2 IN CS136. WHEN I FOUND OUT YOU WATCHED THE FIRST ONE LAST YEAR I ALMOST WISHED I HAD SKIPPED A GRADE SO I COULD WATCH IT. honestly if this actually happens and you hear squealing at the beginning of every CS136 class then you know that girl is the person who wrote this evaluation.
"
Good,Just Right,Good,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Helpful,Not Helpful,Okay,Somewhat too much,> 15 hours,"What instructor has done well: I enjoyed the movie :D
Improvements to technique or style: I don't know how, but keep me awake please.
Course's strong points: Recursion was very fun
Course's weak points: Assignments are a big long.
Class atmosphere: No comment
Other Comments: None.
"
Excellent,Just Right,Excellent,Good,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Helpful,Helpful,No opinion,Somewhat too much,Somewhat too much,7-10 hours,"What instructor has done well: Was funny
Improvements to technique or style: Nothing
Course's strong points: Very useful, the world load was manageable, and the class didn't move overly fast
Course's weak points: Some examples were a bit bland, some of the assignments were really hard.
Class atmosphere: No effect
Other Comments: No effect
"
Excellent,Just Right,Good,Excellent,Excellent,Most of the time,Very interesting,Excellent,90-100%,Very helpful,Very helpful,No text required,Okay,Somewhat too much,> 15 hours,"What instructor has done well: I like how Professor Tompkins adds flavour to his lectures with several stories and analogies and quirky pop references and jokes. He is always lively in all his lectures so he is never droning on. He engages the class at most times. I, for one, loved the use of his high voice and low voice while explaining mutual recursion, and I like how he explains concepts in a simple manner that is easier for everyone to visualise and comprehend.
Improvements to technique or style: I think Dave Tompkins is the best prof there is in CS 135, and cannot think of anything I would like to see different from him.
Course's strong points: The course introduces students to Functional Programming, which is something that the vast majority of students would have never come across before. The in-depth focus on recursion and emphasis on strengthening the basics is a very strong aspect of this course.
Course's weak points: Sometimes there was too much expected of the students in the assignments. Also, some examples given in the lecture slides are specific to the Math faculty (in particular the example about Euclidean GCD), so that leaves students from outside the Math faculty clueless.
Other Comments: The class size was large but that was understandable because many people would want to attend Dave Tompkins's lectures.
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,Helpful,No text required,Okay,Somewhat too much,3-6 hours,"What instructor has done well: I enjoyed attending class each week and I like that fact that you tried your best to make the lectures interesting/entertaining when the material was a bit bland at times.
Course's strong points: Good introduction to a different kind of programming language and teaching basics of CS
Course's weak points: Design Recipe - I understand the need for it however I believe it was a bit too structured in how it was required to be done. Haven taken cs courses in high-school with different 'design recipe'/templates on how things should be done I lost some marks on the first few assignments for things that seem kind of pointless. (mainly naming convention)
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Interesting,Excellent,90-100%,Very helpful,Helpful,Not Helpful,Okay,Somewhat too much,7-10 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Helpful,Okay,Somewhat too much,11-15 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Helpful,Helpful,No opinion,Somewhat too much,Somewhat too much,> 15 hours,"What instructor has done well: Put on movie before the lecture. Explained things very thoroughly. He didn't just read off the slides.
Improvements to technique or style: He was great.
Course's strong points: N/A
Course's weak points: N/A
Class atmosphere: Everything was great. Dave made hilarious jokes, to keep the atmosphere positive.
Other Comments: Everything was good
"
Excellent,Just Right,Good,Excellent,Excellent,Often enough,Not interesting,Excellent,90-100%,Helpful,No printed notes,Not Helpful,Too much,Too much,11-15 hours,"What instructor has done well: Always super enthusiastic, clear and provides great examples and stories of how the code would apply to real life--you make CS seem like its lot of fun!
Improvements to technique or style: If possible, do a bit more harder examples in class so we're more ready to tackle assignment problems ourselves.
Course's strong points: Interesting concepts.
Course's weak points: Huge gap in difficulty between in-class examples and assignment questions.
Class atmosphere: The atmosphere was positive :)
Other Comments: N/A
"
Excellent,Just Right,Good,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,No opinion,No opinion,Okay,Too much,> 15 hours,"What instructor has done well: Kept the classes interesting.
Course's strong points: As a complete beginner it's a good introductory course to CS.
Course's weak points: Assignments required way too much time. Need more examples of mutual recursion.
"
Excellent,Just Right,Excellent,Good,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Helpful,No text required,Okay,Somewhat too much,11-15 hours,"What instructor has done well: He made the class very interesting and fun to attend. The Lego movie was awesome! (even though I missed half of it due to having a class on the other side of campus right before)
Improvements to technique or style: No Dave no life.
Course's strong points: It was taught at a level so that even people who have never programmed in their life could learn it
Other Comments: The class size was fine, and the screen was easy to read even from the back of the room, so I never had to rush just to find a seat where I could read the screen
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Interesting,Excellent,50-75%,Very helpful,Very helpful,Not Helpful,Somewhat too much,Somewhat too much,11-15 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Interesting,Excellent,90-100%,Very helpful,Very helpful,Not Helpful,Okay,Somewhat too much,7-10 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,Often enough,Interesting,Excellent,75-90%,Helpful,Helpful,No opinion,Somewhat too much,Somewhat too much,7-10 hours,"What instructor has done well: Everything
Course's weak points: The assignments and approach to the material
Other Comments: moar lightsaber pls
"
Excellent,Somewhat too high,Satisfactory,Satisfactory,Excellent,Most of the time,Interesting,Excellent,90-100%,Very helpful,Helpful,Helpful,Okay,Somewhat too much,7-10 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,No opinion,No opinion,Okay,Somewhat too much,> 15 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Interesting,Excellent,90-100%,Very helpful,Helpful,No opinion,Somewhat too much,Okay,7-10 hours,"What instructor has done well: His ability to always keep the class engaged and laughing, but also his explanations of difficult concepts made the class a joy to be a part of.
Improvements to technique or style: I'd like more
Course's strong points: The real life applications of concepts was inspiring.
Course's weak points: Doing functional abstraction in such a short timeline.
Class atmosphere: Very very positive. Dave's attitude made the class always amazing.
"
Good,Just Right,Good,Excellent,Good,I did not seek help,Interesting,Excellent,90-100%,Helpful,No opinion,No text required,Somewhat too much,Okay,7-10 hours,"What instructor has done well: Explained concepts well until the last 1/4 of the modules
Improvements to technique or style: Some of the concepts in the harder parts of the course could be improved
"
Excellent,Just Right,Good,Good,Excellent,I did not seek help,Interesting,Excellent,90-100%,Helpful,Helpful,No text required,Okay,Somewhat too much,7-10 hours,
Good,Just Right,Good,Satisfactory,Excellent,Often enough,No opinion,Excellent,90-100%,Not helpful,Helpful,No opinion,Somewhat too much,Too much,> 15 hours,"What instructor has done well: Dave does a great job of explaining concepts and makes the lectures as engaging as possible. He is also really funny.
Improvements to technique or style: Perhaps giving students a short break in the middle of the lecture would help keep students focused.
Course's strong points: Assumes that students have no prior experience in computer science.
Course's weak points: Assignments (especially near the end) were extremely long/difficult and became something to dread during the week rather than look forward to learning from. This made me lose interest in the course material.
Class atmosphere: Positive atmosphere.
"
Good,Just Right,Satisfactory,Satisfactory,Satisfactory,I did not seek help,Not interesting,Satisfactory,90-100%,Not helpful,No opinion,No opinion,Too much,Too much,> 15 hours,"Course's weak points: The assignments were too hard.
"
Good,Just Right,Excellent,Good,Satisfactory,Always,Not interesting,Excellent,50-75%,Helpful,No printed notes,Not Helpful,Too much,Too much,3-6 hours,"What instructor has done well: Dave is a great teacher. He explains the concepts very clearly. He answers all the questions asked by the students in the class. He is absolutely hilarious --> Helps in keeping the students attentive in a 90 minute class.
Improvements to technique or style: He could do a couple of harder examples and go through them in the class to make it convenient to do the assignments.
Course's strong points: It's good for explaining functional programming and programming concepts in general.
Course's weak points: The level of the assignments were no where near to what was taught to us in the class or what was in the course notes. Also, the syntax and the way (chronology) of writing a piece of code (and implementing logic in the code) is so different from most of the commercial languages that it makes it harder to switch between Dr. Racket and other mainstream languages.
Class atmosphere: Yes, Dave is absolutely hilarious and it helped in a positive manner.
Other Comments: The class size should not be more then 50. Rest everything was good.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Often enough,Very interesting,Excellent,90-100%,Helpful,No printed notes,No opinion,Too much,Too much,7-10 hours,"What instructor has done well: Made the lecture fun with constant pop culture references which I think that this allowed him to stand out from the other professors
Improvements to technique or style: Keep up the work :)
Course's strong points: Assignments were so time consuming, that you don't need a meal plan to survive in University of Waterloo.
Class atmosphere: nope
Other Comments: Class size was too large
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,75-90%,Very helpful,No printed notes,No text required,Okay,Okay,3-6 hours,"What instructor has done well: Dave does a great job of making course content interesting. He also makes lectures enjoyable to attend through jokes and his 5-minute movie clips in the beginning of class.
Improvements to technique or style: Nothing can really be improved, he's great.
Course's strong points: Assignments aren't too boring, they cover all the material from lectures every weak
Course's weak points: Design recipes are a pain to write, I also believe they are not very useful when writing code.
Class atmosphere: The atmosphere during class is very lighthearted, lectures are very enjoyable to attend. There was no discrimination or negative attitude towards ethics, gender or any background of any student.
Other Comments: Class size was reasonable and the lecture hall fit the class quite well
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,50-75%,No work assigned,No printed notes,Not Helpful,Okay,Okay,7-10 hours,
Excellent,Just Right,Excellent,Good,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Helpful,Helpful,Okay,Somewhat too much,11-15 hours,"What instructor has done well: A miraculous teacher with the ability and desire to teach. Showing the class his passion for computer science is very influential to students, and acts as a push to first-year CS students. Very approachable and friendly with his students and try to encourage interaction within class.
Improvements to technique or style: Share your love in CS and teaching with your future classes!
Course's strong points: Good introduction to a very different programming environment and abstraction. Keep students with every level of CS knowledge interested and challenged.
Course's weak points: It would be really difficult for less-able students to keep up with lectures or catch up while advancing into hard contents in such a fast pace.
Class atmosphere: No.
Other Comments: Class size is suitable. Chargers should be available for such a programming-oriented course.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,No text required,Okay,Okay,7-10 hours,"What instructor has done well: Your lectures are very interesting, and the examples give are very memorable.
Improvements to technique or style: Maybe you can post some examples you wrote in class.
Course's strong points: - Very interesting
- Clear knowledge points
Course's weak points: None. (but i'm upset that i'm not in your 136 class)
Class atmosphere: Class atmosphere is very positive.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Helpful,Very helpful,Not Helpful,Okay,Too much,3-6 hours,"What instructor has done well: he plays the logo movie
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,No printed notes,No text required,Too little,Okay,3-6 hours,"What instructor has done well: Lectures were always interesting and inspiring
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Helpful,Very helpful,Helpful,Okay,Okay,7-10 hours,"What instructor has done well: Great enthusiasm in every lecture and made class really fun for students!
Improvements to technique or style: Some jokes could have been more accessible to all students (not personally a sci-fi fan myself).
Course's strong points: Clear content presentation, reasonable assignments, good flow and structure.
Course's weak points: Some clicker questions were unreasonable given the short length of time given to respond (although the free clicker marks balanced things out).
Class atmosphere: N/A
Other Comments: LOVED the ""high voice"" / ""low voice"" dramatization for mutual recursion. Must have been tiring to keep up, but nonetheless helped me to remember the concept much better. Explanations were easy to understand, for people who had a good foundation in CS and those who had never taken the subject before. Overall, Prof Tompkins was an awesome instructor! Thank you for a great term - you provided some much needed light-heartedness during some challenging times transitioning to university, being away from family and contemplating career paths. Know that you've had a great impact on your students.
"
