mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3
3,,3,,3,,3,,4,,2,,3,,4,,3,,3,,3,,3,,5,,2,,4,,It is very informative and I feel like my skills with Excel and understanding of coding was definitely improved. ,Instructions for some of the instructions were unclear or left for the student to interpret. The feedback that was given could be more detailed and it would be nice if we got grades back from the previously assignment before submitting the next. The time to do the assignments were slightly shorter would be better if they were longer.,"For someone who had almost no prior knowledge to coding, I found the 1 week deadlines for the html assignments to be quite stressful as I would always run into issues quite last minute even starting early. Maybe extending the due dates for the html assignments would be helpful or maybe a document for each assignment with common mistakes or trouble shooting solutions would be helpful"
5,,5,,5,,5,,5,,5,,5,,5,,4,,5,,3,,5,,5,,2,,3,,The lecture videos helped greatly. ,,Certain assignments were very time consuming and more challenging than others. The weights for the assignments should be shifted to reflect this. 
5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,1,,2,,Useful and interesting content. Very organized and interesting. One of my favourite courses of my entire undergrad so far. Assignments were very useful and practical and encouraged further learning.,None,"The only thing I can think of would be to allow students to read the modules ahead of time. If you would like students to not do the entire course in a week (which I feel like is the idea behind locking it week by week) the assignments can stay locked. This is not that big of a deal though. One of the most organized and best courses I've ever taken with wonderful TAs and a funny, respectable , and caring instructor."
4,,4,,3,,4,,2,,3,,4,,3,,4,,3,,4,,4,,3,,2,,3,,,,
5,,4,,4,,4,,4,,4,,4,,4,,3,,5,,4,,3,,5,,2,,3,,"Very informative in learning basics of computers and the internet. It is a good elective to take because the effort to result ratio is good (if you take the time to learn concepts, it isn't too difficult to do well).","It could have introduced more advanced material, however the course can obviously only cover so much.",Maybe add optional practice quizzes that can be done before the actual assignment to review essential content.
5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,2,,2,,"Completing the assignments hands on, and working through the quizzes",The application assignments tend to be a bit unclear on how to complete them.,Possibly hold an optional tutorial session to answer all possible questions one might have.
5,,5,,5,,5,,4,,4,,4,,4,,2,,4,,4,,4,,5,,2,,3,,,,
5,,4,,5,,4,,3,,4,,4,,5,,2,,4,,4,,3,,4,,2,,3,,A introduction to using computers and some applications ,,Fix up the transcripts as they are kind of hard to read sometimes. 
5,,4,,4,,4,,4,,4,,4,,4,,2,,4,,4,,4,,4,,2,,2,,I enjoyed the hands-on assignments where it required us to submit documents to dropbox as I feel like I learned much more from that assignment than the quizzes.,Sometimes I see a disconnect between the modules as I'm not sure how they all connect together.,Uploading directly to dropbox would be better than uploading to server. 
5,,5,,4,,5,,5,,4,,5,,5,,4,,5,,5,,5,,6,,2,,2,,The video and transcripts module presentations,The modules without the video presentations,Nothing. I loved this course and learned so much useful information that I can apply in the future.
4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,4,,4,,4,,1,,3,,,,
4,,3,,3,,4,,3,,2,,3,,3,,3,,4,,4,,4,,5,,2,,2,,Informative and descriptive YouTube videos,Modules that were plain text,"Instead of using text as learning materials, videos or other methods would be better"
4,,5,,5,,4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,1,,2,,good videos and descriptions. Easy to follow along! Great and fun class,hard to study specific examples,
3,,5,,4,,4,,4,,5,,5,,5,,4,,5,,4,,4,,5,,2,,2,,The modules explain the concepts clearly and the assignments further the understanding of the  concepts.,"Sometimes there are some technical issues for the quizzes. For example, the link in the quizzes cannot be opened.",
5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,6,,2,,3,,Content is easy to understand and learn.,,
4,,5,,3,,5,,5,,4,,4,,4,,4,,4,,4,,4,,5,,2,,2,,"The option to go through the modules through video format or by reading transcripts was very helpful, especially for students who have different learning styles. I also appreciated the humor that was embedded into the modules. It made the course much more fun and amusing, and made me a fan of the professor. ",None. ,Add more memes into course content for the good laughs. 
5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,2,,1,,,,
5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,6,,2,,1,,The hands on assignments for the course really help solidify knowledge,"Some of the material is very dry, because there is no way to do any assignments.",Add more Rick Astley memes
5,,5,,,,5,,4,,3,,4,,5,,3,,5,,5,,5,,5,,2,,2,,,,
4,,4,,3,,4,,4,,4,,4,,4,,4,,5,,5,,5,,6,,1,,2,,"Overall, it was a great course and helped me to improve computer knowledge and software skills.[nl]It gave me the opportunity to learn Excel, Intro to Linux Server, most importantly - HTML and website creation",I believe the course should elaborate more on HTML and CSS.,"Rather than having Multiple-choice Quizzes, there could be proper assignments just like other courses."
5,,5,,5,,5,,5,,4,,4,,4,,4,,4,,4,,5,,5,,2,,4,,,,
2,,2,,1,,1,,2,,1,,1,,1,,1,,4,,3,,4,,5,,2,,2,,,,"Design better assignments. Stop putting redundant questions like changing an entire sentence like Hello Mr.Goose into code. Or the conversions to hexadecimals and such. A 3-4 letter word would be sufficient to test knowledge and make sure students have learnt how to do it. Transcribing sentences is tedious is meaningless, felt that I was wasting my time and not learning anything. "
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,Faculty had so many tech error in assignments and for submitting,1,,1,,4,,2,please don't force students to take this course,2,,none complete waste of my time,"1. the assignments were so lengthy in a non-useful way. there were repetitive questions (i.e. finding HEX# for HELLOMRGOOSE) yet some special emojis(font) couldnt be found anywhere[nl]2. there were so many technical errors, i.e. the hyperlink wasn't working, and the marking rubric was so harsh on students.[nl][nl]3. feel instructor purposely made this course more difficult because it is an elective[nl][nl]4. Retarded how TAs force us to post our website/assignments/pic on the UWaterloo public domain. As a student I'm more than happy to do so, but there were so many technical steps and error (Such a lengthy process) for students to do so, i.e. we have to change our command options, then download VPN so we can VPN to school network, etc.etc. [nl]The difficulty level to complete that is harder than ANY assignments that I had to do this term - what's the point? Why are we losing 5 marks (out of 30-40) if we don't upload it correctly? The marking weight to that is just so high, and it's a recurring issue for any assignment, so students constantly lost 5-10% on assignment because our computers aren't working to upload it. It's just so unfair",pls see comment above. ironic how it's a CS course and there are that many technical errors.
3,,3,,3,,4,,4,,4,,4,,4,,3,,4,,4,,4,,3,,2,,2,,"Its a great intro course to CS (because it is an intro course, i know). it eases you into coding and excel.","some modules were particularly difficult, and the instructions for the assignment were sometimes confusing.",provide more clear instructions to the specifics of the assignments.
3,No interaction with the proffessor,2,"Some content was easy to understand, however some explanations were long winded and confusing. The fact that the transcripts had many spelling, grammatical, and content error did not help the ease of understanding. The clarity of course content was inconsistent across modules.",3,No interaction with the proffessor,1,"I had very little interaction with the instructor if any at all, all communications and course postings were done by the TA's",1,"The course lacked structure, at the beginning the intended format communicated was for lectures to be in the form of videos with the available transcript to read. However the video component was removed halfway through the term, which was quite annoying when the transcript referenced an image that you could not see. In addition to that the transcripts were full of errors, and were difficult to read as a result, as they constantly had words striked out and extra words added. Further to this point the course material and available course resources only covered half the material we were expected to understand fort he module assignments. Furthermore assignments were described to be posted on the Monday of the week and due the next Monday (as per the syllabus), some weeks the content didn't get posted to later reducing the amount of time available to complete the assignments. The syllabus was also very vague regarding the grade break down and inconsistent with the version posted on learn",3,,3,The learning objectives were formatted as being the heading of each of the sections within the module. There were often times where we were tested on content outside of what was indicated in the course material. These questions did not help achieve the learning objectives,4,"Since assignments covered content not included in course material, completion of the assignments required me to take the time to learn extra material on my own through other online sources.",2,There generally wasn't any feedback for assignments unless you actively sought it out.,2,,3,,4,,4,,2,,3,,"Although the quality of content varied throughout the course some of the better lectures were actually very good, and made it easy to understand topics especially for students without a computer background",The course more or less seemed to be run by the TA's who seemed to lack experience in the intricacies of running a course or creating quizes ,
5,,5,,5,,5,,5,Love the videos!,5,,5,,5,,5,,5,,5,,5,,5,,2,,4,,"great lecture content, the videos were well-presented[nl][nl]the assignments were useful and enhanced my learning and application of course content",N/A,more videos!
4,,4,,3,,4,,4,,4,,4,,4,,3,,4,,3,,4,,5,,2,,2,,,,
,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,2,,3,,The course material was well organized.,Nothing,Maybe post more announcement on learn.
5,,5,,3,,5,,5,,5,,5,,5,,3,,5,,5,,5,,6,,2,,2,,,,
4,,4,,4,,,,4,,4,,4,,4,,4,,4,,4,,4,,5,,2,,1,,,,
5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,5,,2,,1,,,,
4,,4,,4,,4,,5,,4,,4,,4,,3,,4,,4,,4,,5,,2,,2,,,,
4,,4,,5,,4,,4,,4,,4,,5,,3,,4,,4,,4,,6,,2,,3,,The application of the module content in the Part C assignments helped in understanding and absorbing the concepts. [nl]Having both videos and transcripts was useful for those with multiple learning styles.[nl]Fahad and Alison were very helpful.,"Each module is available on a weekly basis only, so there is no opportunity to work ahead. The assignments can still be due on a weekly basis but students should be able to read/watch the next modules content if they finish the previous one early.",Consider making all the course modules available at the beginning of the term but releasing the assignments on a weekly basis as is already done.
3,,4,,4,,4,,2,,4,,4,,4,,4,,4,,2,,3,,5,,1,,2,,Online format and videos are well made,skims the surface of a few things without promoting a full understanding of any one,"My main issue with this class is the ISAs. Multiple times, I emailed them because my answers for assignments did not match the answers provided. It turned out that I was correct and the answers were wrong, but instead of informing me they just reuploaded different answers, therefore wasting my time. On other times they just would not answer my questions for a week. And my third issue is that they have posted that a module has been uploaded when it has clearly not been, therefore going against the course schedule and forcing me to rework my workload. Individually none of these things are a huge deal, however after I while I felt as if the ISAs did not care to perform well in their job or aid students, and I felt like I had to berate them into being helpful at all. Thanks. "
4,,4,,3,,3,,4,,4,,4,,4,,4,,4,,4,,4,,5,,2,,3,,,,
3,,4,,,,4,,5,,4,,4,,4,,3,,4,,4,,4,,6,,1,,3,,,,
