Response ID,Response Time,Q1: Respect,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Helpfulness,Q3 Select Index,Q3 Comment,Q4: Instructor Overall,Q4 Select Index,Q4 Comment,Q5: Organization,Q5 Select Index,Q5 Comment,Q6: Clear Expectations,Q6 Select Index,Q6 Comment,Q7: Content Usefulness,Q7 Select Index,Q7 Comment,Q8: Assignment Value,Q8 Select Index,Q8 Comment,Q9: Feedback,Q9 Select Index,Q9 Comment,Q10: Use of Technology,Q10 Select Index,Q10 Comment,Q11: Learning Climate,Q11 Select Index,Q11 Comment,Q12: Course Overall,Q12 Select Index,Q12 Comment,Q13: Expected Grade,Q13 Select Index,Q13 Comment,Q14: Required or Elective,Q14 Select Index,Q14 Comment,Q15: Workload,Q15 Select Index,Q15 Comment,Q16: Course Strengths,Q16 Select Index,Q16 Comment,Q17: Course Weaknesses,Q17 Select Index,Q17 Comment,Q18: Improvements to be Made,Q18 Select Index,Q18 Comment
280433,2017-07-21T08:31:46,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,More than 10 hours,3,,,,"It was fun, interesting and the Prof's videos were great",,,"Still waiting for module 8 and beyond for marks and it is the end of week 12... when our exam is NEXT WEEK. 

 TA's said that they would give us our marks next week when our exam is next week.  

TA's would say they had chat hours and would either be on and ignore for hours or not be on at all.",,,Improve the TAs and the marking times
280432,2017-07-20T19:20:07,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
280431,2017-07-20T12:36:45,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,70-80,3,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
280430,2017-07-20T10:54:18,Agree,3,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Neutral,2,,Disagree,1,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,It's quite boring at times - no fault of the instructors but the content is just dry at times,,,
280429,2017-07-20T08:43:19,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,video lectures were very clear and well done.,,,"Some assignments, particularly coding, could have used more instructions for beginner students.",,,"Overall,I really liked the course, the excel videos were a bit boring and the website creation assignments a bit challenging. Those would be my only two weak points."
280428,2017-07-19T19:43:12,Neutral,2,,Neutral,2,,Disagree,1,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,The content was easy to follow based on the layout of the course.,,,Results took a long time.,,,
280427,2017-07-19T18:11:03,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Disagree,1,Feedback was extremely limited.,Neutral,2,,Neutral,2,,Agree,3,,70-80,3,,Elective,1,,Much less than 10 hours,0,,,,Concise units and assignments,,,Hard to gauge expectations and required concepts for final exam,,,
280426,2017-07-19T18:10:46,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,70-80,3,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
280425,2017-07-19T18:10:14,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Disagree,1,,Neutral,2,,Strongly Agree,4,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,Around 10 hours,2,,,,,,,,,,
280424,2017-07-19T18:08:58,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Disagree,1,,Neutral,2,,Neutral,2,,80-90,4,,Elective,1,,Around 10 hours,2,,,,,,,,,,
280423,2017-07-19T17:47:10,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Disagree,1,,Agree,3,,Agree,3,,80-90,4,,Required,0,,Less than 10 hours,1,,,,Very easy to follow and is organized very well,,,The videos are sometimes not very clear,,,Make the videos more clear and organized
280422,2017-07-19T15:05:40,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,Excel was very helpful,,,I didn't really learn anything from the search engines module,,,More Excel!
280421,2017-07-19T13:46:42,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,"Good instruction in videos
Relavent assignments",,,,,,More help from TAs
280420,2017-07-19T12:45:35,Neutral,2,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,,,,lack of person to person teaching,,,"Maybe a tutorial once a week would help because sometimes communication via email can get difficult in terms of timing and articulation difficulties. If there could be a class once a week that went over the material in summary, I think that would be helpful."
280419,2017-07-19T12:10:50,,,,Agree,3,,,,,,,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,"how reflective the assignments are of the content. I really liked the formatting of quiz A being knowledge, quiz B being practical and then an assignment to put your new skills to use",,,The dependence on technology is a little frustrating for someone who is awful with computers. For example there could have been a bit more explanation about how to use the SFTP client.,,,Nothing in the delivery of info. All was very well done
280418,2017-07-19T11:09:39,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Disagree,1,"There wasn't much feedback, although the marking scheme that was provided did help a lot",Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,it's useful!,,,some assignments are significantly harder than others,,,a bit more thorough breakdown of the coding - I had to do a bunch of additional research in order to be able to complete the css and the html assignments
280417,2017-07-19T10:11:58,,,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
280416,2017-07-18T19:51:09,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Disagree,1,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,80-90,4,,Required,0,,Less than 10 hours,1,,,,course contents are well organized as an online course. I had no problems understanding the concepts,,,TAs does not respond to emails sometimes. And there is no feedback from the assignments whatsoever.,,,improve the weakness listed above
280415,2017-07-17T22:59:27,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
280414,2017-07-17T17:17:04,Neutral,2,,Neutral,2,,Agree,3,,Disagree,1,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Strongly Disagree,0,,Agree,3,,Disagree,1,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,Great YouTube videos.,,,Lack of feedback from dropbox. Should provide constructive feedback for better learning experience.,,,"Give better feedback than just a grade. Grades don't mean everything. Getting 100% doesn't mean your webpage is 100%. Should provide better feedbacks to students to tell them what they can improve on, or what they did well on."
280413,2017-07-17T16:28:21,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
280412,2017-07-17T16:12:11,Agree,3,,Disagree,1,,Neutral,2,"They are helpful if you could make the limited office hours.  Two sets of middle of the day office hours are great for the everyday student, but not helpful at all for people who are on Co-op placements, or working full-time, and taking courses.",Disagree,1,,Neutral,2,,Agree,3,,Disagree,1,Course Materials were very general based and didn't always cover material that was asked on quizzes and assignments.  A lot of extra research had to be done to find answers and complete the assignments.,Agree,3,The assignments were good in that you had to do extra research from course materials to do them.,Disagree,1,Feedback was limited and very slow.  Having to wait several weeks to see marks made it difficult to determine the style of marking.,Neutral,2,,Disagree,1,Having to wait a week to access material made it difficult and non-productive to learning.  You could not get into a flow and either had to sit around and do nothing for 6 days or rush around to throw stuff together where topics required more attention.,Neutral,2,,,,,Elective,1,,Much more than 10 hours,4,,,,The broad list of topics covered,,,"1.  Insufficient notes provided
2.  Insufficient office hours
3.  The weekly release dates for notes/assignments",,,"1.  More in-depth notes or at least links pointing to more information
2. Release all the course notes and assignments at the start.  The quizzes/short answer questions can still be released weekly."
280411,2017-07-17T15:50:07,Strongly Agree,4,,Agree,3,,,,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Around 10 hours,2,,,,Well honed delivery combined with interesting material.,,,"Some of the assignments were very easy, some were much more difficult. I would prefer consistency.",,,"Some of the assignments were very easy, some were much more difficult. I would prefer consistency."
280410,2017-07-17T13:39:41,Agree,3,,Agree,3,,Strongly Agree,4,,Disagree,1,,Agree,3,,Disagree,1,,Neutral,2,,Neutral,2,,Strongly Disagree,0,little to no feedback even when very low mark received,Strongly Agree,4,,Agree,3,,Disagree,1,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,"well organized, TAs helpful",,,"expectations not clear, 50% exam seems senseless",,,assignments worth more of our grade because they demonstrate the learning process
280409,2017-07-16T16:12:26,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Disagree,1,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,"communication between student and assistant, clarity, easygoing",,,some organization,,,
280408,2017-07-16T15:27:11,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
280407,2017-07-16T09:51:26,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Strongly Agree,4,,70-80,3,,Required,0,,More than 10 hours,3,,,,The modules are very informative,,,,,,
280406,2017-07-16T01:47:16,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,The video tutorials to teach classes.,,,The html format websites as lessons. It was hard to read and makes it very uncomfortable to read.,,,"I would like to have the video tutorials for coding as well. I do not have any coding experience, and coding was the biggest challenge for me in this course."
280405,2017-07-15T20:32:16,Neutral,2,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Agree,3,,80-90,4,,Required,0,,Much less than 10 hours,0,,,,,,,,,,
280404,2017-07-15T14:50:30,Strongly Agree,4,,Strongly Agree,4,,,,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
280403,2017-07-15T13:00:49,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
280402,2017-07-15T11:03:50,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,The modules where clearly shown and the subsections where titled well as well as displayed well,Neutral,2,,Strongly Agree,4,I do prefer reading text instead of listening to videos and it makes learning much easier,Agree,3,It was nice to see how what we where learning was practical as well as enforcing that we where able to do it,Strongly Disagree,0,I recieved no feedback on my assignments,Strongly Agree,4,,Agree,3,,Strongly Agree,4,Im not in CS or Math and this was probably one of the most important courses I took so far. It taught me everyday skills (especially excel) that I will use in my everyday life no matter what I do.,80-90,4,,Elective,1,Technically it was required for me for a time but I since I transferred programs I didn't need it. I am still glad I took this course,Less than 10 hours,1,Depended heavily on the assignment. At the beginning (first 3 weeks) I spent maybe 1-3 hours each week on assignments. Near the end however while we where working on HTML I probably spent 5-8 hours on the course.,,,"I really valued learning the material since it showed how I will use it in everyday life. In my opinion, everyone should learn excel.",,,"For his videos the instructor spoke too slow. This was fine for me because since it was a youtube video, I was able to set the speed a little faster.",,,Making both written and spoken module versions for the assignment.  Some of the modules I preferred to see the work being done while others I would of preferred to read it. Otherwise I have no complaints and think this is one of the most practical and useful courses I have taken so far. No matter where I end up I will still use some of these skills.
280401,2017-07-14T22:40:39,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Disagree,1,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,70-80,3,,Elective,1,,Around 10 hours,2,,,,,,,,,,
280400,2017-07-14T17:31:11,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Disagree,1,,Neutral,2,,Neutral,2,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
280399,2017-07-14T14:39:42,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,Disagree,1,,Neutral,2,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
280398,2017-07-13T22:14:50,Neutral,2,,Strongly Disagree,0,,Disagree,1,,Disagree,1,,Strongly Disagree,0,,Disagree,1,,Agree,3,,Agree,3,,Strongly Disagree,0,,Neutral,2,,Disagree,1,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,,,,Extremely unorganized. Multiple assignments would have errors in them and would not be fixed for days. It was clear that material was being used from previous courses and no one was reviewing them before posting. There were multiple instances where I spent an unnecessary amount of time trying to do something to find out days later that there was an error in the instructions or answers. Overall felt like I was dealing with an incompetent or lazy course staff. Degraded the learning environment because of these mistakes.,,,Actually review and know the material for the course before giving students false information.
280397,2017-07-13T17:44:08,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
280396,2017-07-13T15:54:58,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,quizzes/assignments matched the weekly learning modules.,,,Some questions on quiz can be misleading/confusing. More transparency with regards to questions.,,,Some questions on quiz can be misleading/confusing. More transparency with regards to questions.
280395,2017-07-13T15:46:41,Neutral,2,It would be helpful if IT instructors would speak and explain things in a simplified version. This course is an introduction to computing not an introduction to IT.,Neutral,2,,Neutral,2,,Neutral,2,,Disagree,1,Course information was fragmented and was far too advanced for an introductory course.,Agree,3,,Agree,3,,Agree,3,,Neutral,2,The feedback was late in some instances and it was not taken into consideration that the students new nothing about the information they were learning.,Agree,3,,Neutral,2,"It would be helpful if we could have feedback from the precious module.  Example: At this time I am on Module 10 and am just getting feedback from Module 6. Not having feedback from previous modules does not help me to achieve a better mark for the next module. Example:  There were 3 Modules devoted to Excel in this course and by the time I got feedback for the first Excel Module, I had already finished the 3rd part and had moved on to a completely different topic.",Agree,3,,Above 90,5,,Elective,1,,Much more than 10 hours,4,,,,Understanding what goes on in the background when you are using a computer.,,,Consistent and timely feedback from assignments,,,"More explicit materials for learning. Videos so that you can see the changes that are happening, rather than text documentation. Transcripts need to be updated to proper sentences and in the first few modules"
280394,2017-07-13T14:04:05,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
280393,2017-07-13T13:38:27,Neutral,2,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,It would be appreciated to get feedback sooner in order to learn for future assignments.,Strongly Agree,4,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,The assignments allowed us to apply the knowledge learned in the lectures.,,,The short answer questions were not always relevant to the material.,,,N/A
280392,2017-07-12T21:10:54,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Disagree,1,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
280391,2017-07-12T19:33:46,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Disagree,0,No verbal feedback was provided. Only a mark was provided.,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
280390,2017-07-12T18:40:36,Neutral,2,,Neutral,2,,Neutral,2,,Disagree,1,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Disagree,1,,Above 90,5,,Required,0,,Less than 10 hours,1,,,,,,,,,,
280389,2017-07-12T18:29:44,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Agree,3,,80-90,4,,Required,0,,Less than 10 hours,1,,,,Technology used,,,Nothing,,,Nothing really. Everything was done well.
280388,2017-07-12T17:01:42,,,,,,,Agree,3,,,,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Neutral,2,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,Modules are straight forward,,,Some of the questions in the quizzes were poorly worded,,,
280387,2017-07-12T15:43:02,Neutral,2,,Agree,3,,,,,,,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Neutral,2,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,,,,,,,
280386,2017-07-12T14:47:44,,,,,,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,Great application using the various softwares. It was a well-structured course and organized nicely.,,,"I felt the modules, especially for HTML, could have been more helpful and descriptive.",,,"Provide more examples, especially ones that could be applicable to assignments in the modules."
