mc_1,mc_2,mc_3,mc_4,mc_5,mc_6,mc_7,mc_8,mc_9,mc_10,mc_11,mc_12,mc_13,mc_14,mc_15,txt_1,txt_2,txt_3,txt_4,txt_5,txt_6
1,3,1,1,1,6,2,1,1,1,4,2,6,2,4,good oral speech!,,,,,The assignments load is a little bit too much. But I really think some of the assignment is unfair! (such as assignment 9!) The professor should really put more emphasis on practicing our cs skills instead of reading skills when they write the assignment!!!
1,3,1,1,1,6,1,1,1,1,1,1,3,3,3,"Great presentation skills, made 135 memorable.[nl]Selected the same prof for 136 for this purpose",Was great,,,,
1,3,1,1,1,6,1,1,1,2,4,4,3,3,3,"Literally everything! The funny, casual comments were great.","More funny jokes and comments because they are so good. They keep things interesting and help me stay focused during the lecture. But I understand that you are a prof and not a comedian. However you'd be a good comedian but I'm not saying you're not a good prof. A perfect professor though, if you were wondering.",Racket. So cool.,"Huge focus on recursion over ""for loops""? There probably are great reasons but none I know of. Not enough stepper questions for practice but it was a huge chunk on midterms.","I thought it was very positively affected. The ""not-too-serious"" style that you brought kept attitudes positive and friendly.","The space for each student is tiny. I sit in one of the farthest rows and I can hear your voice very clearly, thank you. The class was pretty quiet except for laughter."
1,3,1,1,1,6,1,1,1,1,5,4,3,2,4,Has a way of keeping everyone concentrated and has fun with the course,Dave is at the peak of his game. There is nothing he can improve on because he is perfect.,Really did a great job of introducing us to functional programming since no one had ever heard of racket before.,Some assignments were a little too hard,Everything was good :),"Dave was the best prof ive had so far, and my favourite teacher of all time basically. Such an interesting person!"
2,3,3,2,2,4,2,2,1,2,4,5,2,3,3,Good examples,,all of content is pretty interesting,got .rkt on midterms,neutral,Good size room in RCH
1,2,1,1,1,3,2,1,1,1,2,4,2,2,5,implementation of Chinese dialects into loops.,Too much Chinese.,The bonus Cantonese assignment.,My grade.,The preferential treatment given to native mandarin speakers was unfair.,I thought this was an english university.
1,3,1,1,1,2,1,1,1,1,1,1,3,2,4,Everything... the course can be pretty dry at times but Dave never failed to entertain the class and keep them engaged.,,The instructor!!!,"some assignments were a little too difficult, and midterm 2 was too long to perform well in the time given",,Please give Tompkins a bigger room so he can teach more people!
1,2,1,1,1,6,1,1,1,1,2,4,2,2,4,"Great lectures, I could absorb the course material easily.",More interactions with students other than by clickers.,Easy to understand and interesting.,"Some of the advanced concepts, such as trees and application of foldr could be explored more thoroughly.",Positive atmosphere always.,
1,2,1,1,1,6,2,1,1,1,1,2,2,3,3,,,,,,
1,2,1,3,1,6,2,1,1,2,2,4,2,1,4,hands down the best instructor i had all term.,,,the lambda class notes did not help at all.,,
1,3,2,2,1,6,2,1,1,2,5,5,3,3,2,Made the class interesting,None,Having all slides available online,Design recipe,No,None
2,2,2,2,1,2,2,2,1,1,4,2,2,2,4,,,,,,
1,3,1,1,1,6,1,1,1,1,1,3,3,2,3,"Everything. Having Dave Tompkins as a teacher was a blast. He consistently kept the course interesting, even when he said it would be dry. I hope to have him again next term/year, but apparently those classes fill up faster than a mall on black friday.",,"This course is very well organized. Every teacher taught the same things, and the exams/assignments were fair for anyone in any class. There were also lots of good resources to help you if you were having trouble, something a lot of other courses lack.",,"Dave often made (I assume) everyone feel comfortable in class. Lots of jokes were made, and he shared a lot of relevant personal stories, allowing you to make a connection with him, which helped me pay attention more. Very good teacher.",
1,3,3,2,1,6,2,1,1,2,3,2,3,1,4,Make the material very interesting,Little fast when go through slides,Good for starters,"Some assignments are way too much, design receipt, especially tests",No,Smaller class
1,1,1,1,1,1,1,1,1,2,2,4,1,1,5,He is funny and explained new material well.,,,,,
1,3,1,2,1,1,1,1,1,1,3,2,3,2,3,Dave Tompkins made every lecture entertaining and educational. His passion for Dr. Racket motivated me.,"Sometimes, it would be hard to understand the slide deck at home.",Very interesting to learn programming in a new language.,Some assignments and that design recipe monster.,The class was very inclusive and positive.,Loved the LEGO movie and the jokes.
1,2,1,1,1,6,2,1,2,1,1,3,3,2,5,"Oral presentation, keeping the class interested.",Dave is perfect.,The assignments really helped me understand the material and the movie was good.,The assignments were too hard.,,We should have a room with outlets since most people use their laptops.
1,3,1,1,1,1,1,1,1,1,1,3,3,3,2,"Very engaging, I now love and respect Racket thanks to Dave",,"Covering and explaining all the advanced tree and recursion nonsense using the ""two voice method""",The course has a bit of a slow uptake,,
1,3,2,1,1,6,1,1,1,1,2,5,3,2,5,"Explaining how trickier concepts would work using examples, such as the clone idea for recursion and the big voice/small voice for mutual recursion.","I know you didn't write Assignment 9, but I feel like we would have been more prepared and less overwhelmed if we had gone through some examples of nested foldrs in class.",Assignments had some humour/interesting portions (except for assignment 9),"Workload is a little massive for someone with no prior CS experience. For the most part, I enjoyed the challenge but sometimes I miss having friends other than DrRacket on the weekends.","Not really, but sometimes in class I like to count how many guys there are between me and the next girl. My record is 20!",CAN WE WATCH HOW TO TRAIN YOUR DRAGON 2 IN CS136. WHEN I FOUND OUT YOU WATCHED THE FIRST ONE LAST YEAR I ALMOST WISHED I HAD SKIPPED A GRADE SO I COULD WATCH IT. honestly if this actually happens and you hear squealing at the beginning of every CS136 class then you know that girl is the person who wrote this evaluation.
2,3,2,1,1,6,1,1,1,1,2,3,3,2,5,I enjoyed the movie :D,"I don't know how, but keep me awake please.",Recursion was very fun,Assignments are a big long.,No comment,None.
1,3,1,2,1,6,1,1,1,2,2,5,2,2,3,Was funny,Nothing,"Very useful, the world load was manageable, and the class didn't move overly fast","Some examples were a bit bland, some of the assignments were really hard.",No effect,No effect
1,3,2,1,1,2,1,1,1,1,1,4,3,2,5,"I like how Professor Tompkins adds flavour to his lectures with several stories and analogies and quirky pop references and jokes. He is always lively in all his lectures so he is never droning on. He engages the class at most times. I, for one, loved the use of his high voice and low voice while explaining mutual recursion, and I like how he explains concepts in a simple manner that is easier for everyone to visualise and comprehend.","I think Dave Tompkins is the best prof there is in CS 135, and cannot think of anything I would like to see different from him.","The course introduces students to Functional Programming, which is something that the vast majority of students would have never come across before. The in-depth focus on recursion and emphasis on strengthening the basics is a very strong aspect of this course.","Sometimes there was too much expected of the students in the assignments. Also, some examples given in the lecture slides are specific to the Math faculty (in particular the example about Euclidean GCD), so that leaves students from outside the Math faculty clueless.",,The class size was large but that was understandable because many people would want to attend Dave Tompkins's lectures.
1,3,1,1,1,6,2,1,1,1,2,4,3,2,2,I enjoyed attending class each week and I like that fact that you tried your best to make the lectures interesting/entertaining when the material was a bit bland at times.,,Good introduction to a different kind of programming language and teaching basics of CS,Design Recipe - I understand the need for it however I believe it was a bit too structured in how it was required to be done. Haven taken cs courses in high-school with different 'design recipe'/templates on how things should be done I lost some marks on the first few assignments for things that seem kind of pointless. (mainly naming convention),,
1,3,1,1,1,1,2,1,1,1,2,3,3,2,3,,,,,,
1,3,1,1,1,1,1,1,1,1,1,2,3,2,4,,,,,,
1,3,1,1,1,6,2,1,1,2,2,5,2,2,5,Put on movie before the lecture. Explained things very thoroughly. He didn't just read off the slides.,He was great.,N/A,N/A,"Everything was great. Dave made hilarious jokes, to keep the atmosphere positive.",Everything was good
1,3,2,1,1,3,3,1,1,2,4,3,1,1,4,"Always super enthusiastic, clear and provides great examples and stories of how the code would apply to real life--you make CS seem like its lot of fun!","If possible, do a bit more harder examples in class so we're more ready to tackle assignment problems ourselves.",Interesting concepts.,Huge gap in difficulty between in-class examples and assignment questions.,The atmosphere was positive :),N/A
1,3,2,1,1,6,2,1,1,1,5,5,3,1,5,Kept the classes interesting.,,As a complete beginner it's a good introductory course to CS.,Assignments required way too much time. Need more examples of mutual recursion.,,
1,3,1,2,1,6,1,1,1,1,2,4,3,2,4,He made the class very interesting and fun to attend. The Lego movie was awesome! (even though I missed half of it due to having a class on the other side of campus right before),No Dave no life.,It was taught at a level so that even people who have never programmed in their life could learn it,,,"The class size was fine, and the screen was easy to read even from the back of the room, so I never had to rush just to find a seat where I could read the screen"
1,3,1,1,1,1,2,1,3,1,1,3,2,2,4,,,,,,
1,3,1,1,1,1,2,1,1,1,1,3,3,2,3,,,,,,
1,3,1,1,1,3,2,1,2,2,2,5,2,2,3,Everything,,,The assignments and approach to the material,,moar lightsaber pls
1,2,3,3,1,2,2,1,1,1,2,2,3,2,3,,,,,,
1,3,1,1,1,6,2,1,1,1,5,5,3,2,5,,,,,,
1,3,1,1,1,1,2,1,1,1,2,5,2,3,3,"His ability to always keep the class engaged and laughing, but also his explanations of difficult concepts made the class a joy to be a part of.",I'd like more,The real life applications of concepts was inspiring.,Doing functional abstraction in such a short timeline.,Very very positive. Dave's attitude made the class always amazing.,
2,3,2,1,2,6,2,1,1,2,5,4,2,3,3,Explained concepts well until the last 1/4 of the modules,Some of the concepts in the harder parts of the course could be improved,,,,
1,3,2,2,1,6,2,1,1,2,2,4,3,2,3,,,,,,
2,3,2,3,1,3,4,1,1,3,2,5,2,1,5,Dave does a great job of explaining concepts and makes the lectures as engaging as possible. He is also really funny.,Perhaps giving students a short break in the middle of the lecture would help keep students focused.,Assumes that students have no prior experience in computer science.,Assignments (especially near the end) were extremely long/difficult and became something to dread during the week rather than look forward to learning from. This made me lose interest in the course material.,Positive atmosphere.,
2,3,3,3,3,6,3,3,1,3,5,5,1,1,5,,,,The assignments were too hard.,,
2,3,1,2,3,1,3,1,3,2,4,3,1,1,2,Dave is a great teacher. He explains the concepts very clearly. He answers all the questions asked by the students in the class. He is absolutely hilarious --> Helps in keeping the students attentive in a 90 minute class.,He could do a couple of harder examples and go through them in the class to make it convenient to do the assignments.,It's good for explaining functional programming and programming concepts in general.,"The level of the assignments were no where near to what was taught to us in the class or what was in the course notes. Also, the syntax and the way (chronology) of writing a piece of code (and implementing logic in the code) is so different from most of the commercial languages that it makes it harder to switch between Dr. Racket and other mainstream languages.","Yes, Dave is absolutely hilarious and it helped in a positive manner.",The class size should not be more then 50. Rest everything was good.
1,3,1,1,1,3,1,1,1,2,4,5,1,1,3,Made the lecture fun with constant pop culture references which I think that this allowed him to stand out from the other professors,Keep up the work :),"Assignments were so time consuming, that you don't need a meal plan to survive in University of Waterloo.",,nope,Class size was too large
1,3,1,1,1,6,1,1,2,1,4,4,3,3,2,Dave does a great job of making course content interesting. He also makes lectures enjoyable to attend through jokes and his 5-minute movie clips in the beginning of class.,"Nothing can really be improved, he's great.","Assignments aren't too boring, they cover all the material from lectures every weak","Design recipes are a pain to write, I also believe they are not very useful when writing code.","The atmosphere during class is very lighthearted, lectures are very enjoyable to attend. There was no discrimination or negative attitude towards ethics, gender or any background of any student.",Class size was reasonable and the lecture hall fit the class quite well
1,3,1,1,1,6,2,1,3,4,4,3,3,3,3,,,,,,
1,3,1,2,1,1,1,1,1,1,2,2,3,2,4,"A miraculous teacher with the ability and desire to teach. Showing the class his passion for computer science is very influential to students, and acts as a push to first-year CS students. Very approachable and friendly with his students and try to encourage interaction within class.",Share your love in CS and teaching with your future classes!,Good introduction to a very different programming environment and abstraction. Keep students with every level of CS knowledge interested and challenged.,It would be really difficult for less-able students to keep up with lectures or catch up while advancing into hard contents in such a fast pace.,No.,Class size is suitable. Chargers should be available for such a programming-oriented course.
1,3,1,1,1,1,1,1,1,1,1,4,3,3,3,"Your lectures are very interesting, and the examples give are very memorable.",Maybe you can post some examples you wrote in class.,- Very interesting[nl]- Clear knowledge points,None. (but i'm upset that i'm not in your 136 class),Class atmosphere is very positive.,
1,3,1,1,1,1,1,1,1,2,1,3,3,1,2,he plays the logo movie,,,,,
1,3,1,1,1,1,1,1,1,1,4,4,5,3,2,Lectures were always interesting and inspiring,,,,,
1,3,1,1,1,6,2,1,1,2,1,2,3,3,3,Great enthusiasm in every lecture and made class really fun for students!,Some jokes could have been more accessible to all students (not personally a sci-fi fan myself).,"Clear content presentation, reasonable assignments, good flow and structure.",Some clicker questions were unreasonable given the short length of time given to respond (although the free clicker marks balanced things out).,N/A,"LOVED the ""high voice"" / ""low voice"" dramatization for mutual recursion. Must have been tiring to keep up, but nonetheless helped me to remember the concept much better. Explanations were easy to understand, for people who had a good foundation in CS and those who had never taken the subject before. Overall, Prof Tompkins was an awesome instructor! Thank you for a great term - you provided some much needed light-heartedness during some challenging times transitioning to university, being away from family and contemplating career paths. Know that you've had a great impact on your students."
