Organization,Explanations,Questions,Visual Presentation,Oral Presentation,Availability,Interest,Effectiveness,Attendance,Assigned Work,Printed Notes,Textbook,New Material,Assigned Work Amount,Hours Per Week,Text Comments
Excellent,Just Right,Excellent,Excellent,Excellent,Often enough,Interesting,Excellent,90-100%,Not helpful,No printed notes,No text required,Somewhat too much,Too much,7-10 hours,"What instructor has done well: He's funny and interactive with the class, loved the lightsaber that he brought into class one lecture.
Improvements to technique or style: I personally LOVE the coded examples done in Racket, I would personally like to see more of this and MORE steppers because our 2 midterms and presumably the final would too.
Course's strong points: Dave's teaching style was very diverse, he included clear spoken lectures with coded examples and even drew some diagrams like trees when we started to learn them.
Course's weak points: Since this is a required class for certain majors, there isn't much motivation to do this course, but Dave made everything more interesting for a lot of people.
Class atmosphere: The class atmosphere was a little bit tense initially due to it being a first year class, but through Dave's humour and interactivity, a nice environment was created that allowed strangers to make friends with other people.
Other Comments: We were in the PHYS150 room and the class was always packed. There isn't much space in between each seat and also between rows, but this is the fault of the room and not much can be done. PHYS was a rather quiet building, so there were little to no distractions during lecture hours.
"
Excellent,Just Right,Excellent,Excellent,Good,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Helpful,Not Helpful,Okay,Somewhat too much,3-6 hours,"What instructor has done well: explain crucial examples functions clearly
Improvements to technique or style: shorten the slides, decrease some repeated functions or useless descriptions. it's hard to find info.
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,Helpful,No opinion,Okay,Okay,3-6 hours,"What instructor has done well: Tompkins did amazing at inspiring the many people in his class. Many people in CS135 have never programmed before, but Tompkins taught in a way that made even the least confident students feel able and competent. 

Showing a movie for the 5 minutes before class every day was a good idea, I forced myself to get to class on time multiple times for no reasons besides Lion King. All Hail Mufasa!
Improvements to technique or style: I was disappointed that day when we couldn't watch Lion King because someone stuffed the podium with cheese.
Course's strong points: Because we used functional programming, the content was fairly new and engaging for students of all backgrounds and skill levels
Course's weak points: idunno
Class atmosphere: nop.
Other Comments: The chairs in Physics 150 are very comfy,
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Interesting,Excellent,90-100%,Very helpful,Very helpful,Helpful,Somewhat too much,Somewhat too much,11-15 hours,"What instructor has done well: He makes the class interesting so that everyone will pay attention. Would love to have him as my prof again in the next term.
Improvements to technique or style: No comments. He is an excellent prof.
Course's strong points: Although there were a lot of assignment questions and it was tough, it was necessary for students to learn.
Course's weak points: Too much material especially the second half of the course when it transitions from locals to lambda.
Class atmosphere: The atmosphere was cheerful because Dave is always funny and full of energy.
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Helpful,No printed notes,No text required,Okay,Okay,3-6 hours,"What instructor has done well: Everything's been great
Improvements to technique or style: NA
Course's strong points: Good understanding in functions
Course's weak points: Too much on design recipes
Class atmosphere: Positive. Dave made the classes fun and enjoyable
Other Comments: NA
"
Excellent,Just Right,Good,Good,Excellent,Often enough,Interesting,Excellent,90-100%,Helpful,Helpful,Not Helpful,Okay,,7-10 hours,"What instructor has done well: 10/10 great instruction and kept class engage; his lectures helped fill us with determination
Improvements to technique or style: some examples could have used more explaination and done more clearly, i.e. initial trees lecture, normally 8/10. 10/10 with further explaination and rice
Course's strong points: Movie clip showed at beginning, overall kept everyone well engaged, inspired us and filled us with determination
Course's weak points: Assignment 9 was hard, given the complexity of lambda, it gave us a bad time
Class atmosphere: No such disturbances exist
Other Comments: No problem here
"
Excellent,Just Right,Excellent,Good,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Helpful,No opinion,Okay,Okay,7-10 hours,"What instructor has done well: Very engaging lectures, professor is hilarious and clearly loves CS. My favourite course of the year!
Improvements to technique or style: Sometimes talks a little quickly, though the lack of need for taking notes greatly diminishes the seriousness of this issue.
Course's strong points: Lots of feedback, examples, and effort by the instructors and tutorials to get you understanding the material at a good depth.
Course's weak points: The clicker questions all but disappeared by the end of the course, removing a valuable self-assessment tool.
Class atmosphere: Great attitude by the professor and the students, made the class a pleasure to attend.
Other Comments: Lecture was a good size, room was suitable and comfortable.
"
Excellent,Just Right,Excellent,Good,Excellent,Always,Interesting,Excellent,90-100%,Helpful,No opinion,Not Helpful,Okay,Somewhat too much,11-15 hours,"What instructor has done well: Clearly explained the topics in the course. Easy to understand
Improvements to technique or style: None
Course's strong points: Teaches data structures and recursion well
Course's weak points: Abstract list functions
Class atmosphere: No comment
Other Comments: Class size was fine
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Interesting,Excellent,90-100%,Very helpful,Helpful,No text required,Okay,Okay,7-10 hours,"Course's weak points: The stepper is so confusing, more examples need to be provided
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Interesting,Excellent,90-100%,Very helpful,No printed notes,No text required,Okay,Okay,7-10 hours,"What instructor has done well: Dave truly understood us students in the class. He would realize when we were ""zoning"" out while he was lecturing us. Instead of forcing the information on us, he would slightly diverge from the topic and gain our attention through light-hearted jokes or pop-culture references. Once he had regained our attention he would continue lecturing us on the material at hand. I feel that this is one of the strong points of his teaching style as forcing the information on students that have ""zoned"" out would only make them ""zone"" out further.
Improvements to technique or style: Nothing. His teaching strategy was extremely adequate.
Course's strong points: Lectured flowed in an extremely logical manner. The Course is laid out in very nice way in that it makes it easy for students to learn the material. There are no ""vague topics"" in the course. Concepts are covered extremely thoroughly.
Course's weak points: We spent a bit to much time on introductory material leaving perhaps not enough time to cover more advanced concepts.
Class atmosphere: The class atmosphere was definitely positively affected by the instructor's attitude. Dave came to every lecture in an extremely good mood which in turn made the students eager to learn. It was a very happy atmosphere.
Other Comments: No.
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Helpful,Helpful,Okay,Somewhat too much,11-15 hours,"What instructor has done well: Dave is excellent! I hope I can stick with him for my CS 135.
Improvements to technique or style: I hope the instructor can provide some hints for assignment questions.
Course's weak points: The class is a bit too long for this large amount of materials. I lost my focus sometimes when the materials are too overwhelming.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Interesting,Excellent,90-100%,Helpful,No printed notes,Not Helpful,Somewhat too much,Somewhat too much,7-10 hours,"What instructor has done well: Kept the class entertaining, but at the same time explained everything clearly
Class atmosphere: The classroom was affected positively by attitudes of the instructor.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,No printed notes,Helpful,Okay,Okay,7-10 hours,"What instructor has done well: Made the lectures interesting and gave great explanations. Would do a lot of live examples making it really easy to follow what he was doing instead of just looking at slides.
"
Good,Just Right,Good,Good,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,Very helpful,No opinion,Okay,Okay,7-10 hours,"What instructor has done well: He's a funny guy.
Improvements to technique or style: He could explain the slides a bit more.
Course's strong points: Teaches the basic concepts of programming well
Course's weak points: Assignment 9 was the worst by far. Some questions had too many restrictions and were very closed-ended.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Most of the time,Very interesting,Excellent,90-100%,Very helpful,No printed notes,No text required,Somewhat too little,Okay,3-6 hours,"What instructor has done well: Love the movies played 5 min before class starts, it helped me wake up. The lectures are very easy to understand and the use of ""Racket Hat"" makes the class hilarious
Improvements to technique or style: What is there to be improved on when it is already perfect
But the audio should be improved faster
Course's strong points: The material is very easy to understand after taught by the prof. Very humorous and intellectual teaching style. 
Also, the change in voice for the mutual recursion should definitely be continued. Do have water next to you next time so you don't lose your voice
Course's weak points: The Doctor Racket hat needs to exist in real life!
Class atmosphere: Absolutely positively effective. Everyone fall in love with CS after hanging out with this prof. Also thank you for the empathy when we have a long hw assignment.
Other Comments: The class size is reasonable, but it will be nice if we get to switch seats so we can get to know more people. I still have no idea who is in my cs class up till this point.
"
Good,Somewhat too high,Excellent,Satisfactory,Excellent,Always,Interesting,Excellent,90-100%,Very helpful,No printed notes,Not Helpful,Somewhat too much,Too much,11-15 hours,"What instructor has done well: Dave is always enthusiastic, make me have passion on this course.
Improvements to technique or style: He should be slower in certain difficult points like mutual recursion.
Course's strong points: It helps me to build a logical mind and get to know how computers think
Course's weak points: Too hard, the assignment is too much that i have time to review after doing it.
Class atmosphere: No, all the instructors and students are nice.
Other Comments: The classroom is too close that make me feel sleepy because the lack of oxygen.
"
Excellent,Just Right,Excellent,Good,Good,Always,Interesting,Excellent,75-90%,Helpful,Helpful,Not Helpful,Somewhat too much,Somewhat too much,7-10 hours,"What instructor has done well: Dave made the class really enjoyable and fun to go to. Dave was always available to answer any questions and was extremely helpful.
Improvements to technique or style: Perhaps spend a bit more time on stepper problems and clarity on lambda functions.
Course's strong points: Some of the assignments were really fun to do as they had fun questions.
Course's weak points: Some assignments were a bit too difficult and stressful.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Helpful,Very helpful,Not Helpful,Okay,Okay,7-10 hours,"What instructor has done well: very interesting prof and explain everything very well.
Improvements to technique or style: Nothing
Course's strong points: everything
Course's weak points: nothing
Class atmosphere: No opinion
Other Comments: good
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Interesting,Excellent,90-100%,Very helpful,Helpful,Not Helpful,Somewhat too much,Somewhat too much,> 15 hours,"What instructor has done well: The fact that Dave taught this course made me want to come to every lecture. He did not only make the lectures fun but he introduced new concepts to students like myself very well.
Improvements to technique or style: Nothing to be improved.
Course's strong points: Assignments were designed well so that students would understand the material better. Classes were well taught. Concepts were very interesting.
Course's weak points: Classes only being two times a week made it very difficult to remember last lecture's content. Tutorials were not taught well or reinforce ideas properly. A lot of time was spent on easy concepts (before trees) and I think we should have gone through those concepts faster.
Other Comments: I enjoyed the free food.
"
Excellent,Just Right,Good,Excellent,Excellent,Always,Interesting,Excellent,75-90%,Helpful,Not helpful,Not Helpful,Too much,Too much,> 15 hours,"What instructor has done well: One of the best profs! Makes lectures interesting and fun, I actually enjoy coming to class. Goes over the material at a good pace and answers any questions students have. Loved watching the lion king and the comparison between recursion and drug use. Some of the course material was dry but Dave tried his best to keep everyone awake.
Improvements to technique or style: Only feedback is to have more steeper problems. Otherwise, keep doing what you're doing!
Course's strong points: Learned a lot of basic skills that you will need for future cs courses. I know that this builds a good foundation for cs students and teaches you to think in a problem-solving way.
Course's weak points: Too much material given too fast. It was hard to learn all the concepts. There's still stuff that I don't fully understand and some assignments were poorly organized. The assignment with trees was useless and I still don't know how to use trees or their purpose. Also, assignment 9 was way too hard, I barely understood the concepts and had to implement them in complicated code. 
On midterm 2, the stepper problems were too hard and the overall exam was too long.
Class atmosphere: Positively by both instructor and students.
Other Comments: Class size was perfect but chairs were too comfy, always fell asleep in class.
"
Good,Just Right,Excellent,Good,Excellent,Often enough,Interesting,Excellent,90-100%,Very helpful,Helpful,No text required,Somewhat too much,Somewhat too much,11-15 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,Often enough,Very interesting,Excellent,90-100%,Helpful,No printed notes,No text required,Okay,Okay,7-10 hours,"What instructor has done well: He has made the classes very interesting and attractive, and was able to explain the new knowledge in a way that was easy for students to understand.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Most of the time,Very interesting,Excellent,90-100%,Helpful,Very helpful,Not Helpful,Okay,Somewhat too much,7-10 hours,"What instructor has done well: Everything. Amazing prof who loves his job, and it really shows.
Course's weak points: Design recipe is unrealistic, and should be reduced.
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Helpful,Very helpful,No opinion,Somewhat too much,Too much,11-15 hours,"What instructor has done well: EVERYTHING! Dave is an amazing lecturer, and person overall. Even though I haven't really talked to him outside class, I can tell that he's a wonderful person just by the way that he interacts with the class. As well, I love all the funny references he makes during class.

ALSO, he taught with a lightsaber once. And he did this high voice/low voice thingy... I loved it. Dave 4 prez
Improvements to technique or style: It's perfect! :)
Course's strong points: HAVING DAVE AS AN INSTRUCTOR!!!!
Class atmosphere: Nopeeee
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,No printed notes,No text required,Okay,Okay,7-10 hours,"What instructor has done well: Professor Tompkins is an outstanding professor. He teaches CS brilliantly both in depth and in humor. There isn't enough good things to say about him, just that he is the best professor/teacher I've ever had to date.
Improvements to technique or style: I honestly don't think there is really much that he could actually even improve on, given how excellent his teaching was. If anything, just more light sabers and the amazing voice acting! (Don't break your voice though)
Course's strong points: Humor, depth, engaging, and interesting. A few of the strong points that has been demonstrated by this course.
Course's weak points: None at all.
Class atmosphere: None at all.
Other Comments: Perfect really, the class wasn't big and there wasn't any noise.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Interesting,Excellent,90-100%,Helpful,Helpful,Helpful,Somewhat too much,Too much,11-15 hours,"What instructor has done well: Dave explained everything clearly, interestingly and completely
Improvements to technique or style: Dave speaks a little fast
"
Good,Just Right,Good,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,No printed notes,No text required,Okay,Okay,7-10 hours,"What instructor has done well: His is the most hilarious professor I have and never fails to keep the class on their feet for long enough to understand lectures. Lectures are very much worth attending.
Improvements to technique or style: Just a little extra clarity in explaining some of the later examples (although the professor has many times explained how the examples themselves were not the best to use and would be changed were it up to him).
Course's strong points: The assignments and lectures.
Course's weak points: Every now and then an iffy example will show up that doesn't really clearly show what it's trying to show.
Class atmosphere: No
Other Comments: Dave is perfect. <3
"
Excellent,Just Right,Excellent,Excellent,Excellent,Most of the time,Very interesting,Excellent,90-100%,Very helpful,Helpful,Not Helpful,Okay,Somewhat too much,11-15 hours,"What instructor has done well: Although the examples are provided in the slides, I like how Dave still opens up a tab in racket and writes the code/examples out with us so that we can understand at a better pace- instead of throwing the example at us and leaving us to understand it all at once.
Course's weak points: lambda, and the uses of lambda. I felt that there was little coverage on this function- and I struggled  a lot with one of the assignments even after using the slides, online resources and the textbook. It would have been nice to see more examples.
Other Comments: The class room was very cramped, small and dark- but I guess that's because it was an old building. (Phys Building)
"
Excellent,Somewhat too low,Good,Excellent,Excellent,Most of the time,Interesting,Excellent,90-100%,Helpful,Helpful,Helpful,Too much,Somewhat too much,11-15 hours,"What instructor has done well: Dave kept all lectures very interesting and provided many of his own examples supplementary to course slides
Improvements to technique or style: Perhaps going slower on certain harder concepts (abstract functions, lambda) would have helped
Course's strong points: learned a lot of new things
Course's weak points: far too time consuming
Class atmosphere: good class atmosphere
Other Comments: n/a
"
Excellent,Somewhat too high,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Helpful,Too much,Somewhat too much,> 15 hours,"What instructor has done well: Very funny and good lectures.
Improvements to technique or style: Everything was good.
Course's strong points: Lectures were clear and engaging.
Course's weak points: Nothing, everything was good.
Class atmosphere: The class atmosphere was always good.
Other Comments: I loved this class even though I suck and feel bad about it. Thank you prof for everything!! :D
"
Excellent,Just Right,Excellent,Excellent,Excellent,I did not seek help,Very interesting,Excellent,50-75%,Very helpful,Very helpful,Very Helpful,Okay,Okay,3-6 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Very Helpful,Okay,Okay,> 15 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,Most of the time,Very interesting,Excellent,90-100%,Helpful,Helpful,No text required,Okay,Okay,11-15 hours,"What instructor has done well: Everything was great. Dave is interesting and he can engage students listen in class and follow the lecture moving on.
Improvements to technique or style: Generally pretty good, could given more complicated examples in class.
Course's strong points: Gave a great idea of functional programming to students whether they have programming background or not.
Course's weak points: Some assignments were a bit too hard to do.
Class atmosphere: Positive atmosphere were created by instructor. Excellent
Other Comments: Pretty good class, i enjoyed the first cs course in university.
"
Good,Just Right,Good,Excellent,Excellent,I did not seek help,Very interesting,Excellent,90-100%,Very helpful,No opinion,No text required,Okay,Okay,7-10 hours,"What instructor has done well: Very humorous and engaging, but still manages to be informative and stay on topic. Gives great pointers and precautions.
Improvements to technique or style: Sometimes cuts students off when they are asking questions. Does not seek class participation very often - unless we catch him making a mistake.
*The Esc+P trick was never taught in class. I was wondering how it was done until we were shown the trick in tutorials. I never would have figured out that it was not actually a Ctrl command.
Course's strong points: Course manages to make a transition to Racket not feel overwhelming. Additionally, course material is more conceptual. I feel like I am working smarter rather than trying everything until something works.
  Assignments are interesting and relevant to course material. Difficulty of assignments encourage us to better understand course material.
  Clickers are a great way to encourage class participation.
Course's weak points: There is a sudden increase in difficulty at around module 8. Assignments suddenly get a lot harder at that point.
  Later assignments were very vague and had unhelpful examples. This is most exemplified in assignment 08. In question #3, nowhere does it state that we are required to count replies of replies, and the examples do not clarify that. It had to be clarified on Piazza, which shows how unclear the question is.
  Some material did not feel useful in the slightest. I never used template functions nor did I ever find them necessary or helpful.
  Tutorials are not very well organized. Gives ""group problems"" but we do not work in groups. We do not have enough time to work on them thoroughly either. Thus, tutorials are not very helpful. This is proven by the number of students who show up for tutorials on week 1 compared to on week 10.
Other Comments: Class size keeps getting exponentially smaller. Worst case I've seen in all of my classes so far.
  Floor elevation was not steep enough. Had trouble seeing over tall people's heads. This is in particular if they had really weird hair.
  People who use Reddit during class time are mildly distracting.
  The audio in Physics 150 took too long to get fixed.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Very helpful,Very helpful,Helpful,Okay,Too much,> 15 hours,"What instructor has done well: Lectures so good that it made [NAME REMOVED] actually show up to class (that's pretty hard to do)
Improvements to technique or style: '() <- My idea
Course's strong points: Functional abstraction, Trees
Course's weak points: Design recipe
"
Good,Just Right,Excellent,Excellent,Excellent,Often enough,Interesting,Excellent,90-100%,Very helpful,Helpful,Helpful,Okay,Somewhat too much,3-6 hours,"What instructor has done well: His methods of explaining new concepts was very good, and he was always very interactive with the students keeping lectures interesting
Course's strong points: Dave Tompkins, and The Lion King
Course's weak points: assignments at the end of the term proved challenging
"
Good,Just Right,Excellent,Excellent,Excellent,Most of the time,Interesting,Excellent,90-100%,Helpful,Helpful,Helpful,Okay,Somewhat too much,11-15 hours,"What instructor has done well: movie before class
"
Excellent,Just Right,Excellent,Excellent,Excellent,Often enough,Very interesting,Excellent,90-100%,Helpful,Helpful,No text required,Okay,Okay,7-10 hours,"What instructor has done well: Really excellent visual presentation. Easy to understand.
Improvements to technique or style: Nothing
Course's strong points: Graphs, Binary Search Trees and Abstraction
Course's weak points: Nothing
Class atmosphere: Not in my opinion
Other Comments: Class size is just right, Room had audio issues, Noise level was at minimum
"
Excellent,Just Right,Excellent,Excellent,Good,Always,Very interesting,Excellent,90-100%,Helpful,Helpful,No text required,Okay,Okay,3-6 hours,
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,50-75%,Very helpful,Very helpful,Not Helpful,Okay,Okay,3-6 hours,"What instructor has done well: Good at teaching.
Improvements to technique or style: Change dry examples from the course.
Course's strong points: Bonus questions.
Course's weak points: Design Recipe.
Class atmosphere: Positively.
Other Comments: Room was cramped.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,90-100%,Helpful,Helpful,Helpful,Okay,Somewhat too much,7-10 hours,
Excellent,Just Right,Good,Excellent,Good,Most of the time,Interesting,Excellent,75-90%,Helpful,No printed notes,Helpful,Okay,Somewhat too much,7-10 hours,"What instructor has done well: good
Improvements to technique or style: do more light sabers
Course's strong points: coding
Course's weak points: N/A
Class atmosphere: positive
Other Comments: good job Dave
"
Excellent,Just Right,Excellent,Excellent,Excellent,Most of the time,Interesting,Good,90-100%,Helpful,No printed notes,No opinion,,Okay,7-10 hours,"What instructor has done well: Very interesting explanation.
Course's strong points: A lot of clicker questions to help the courses.
Course's weak points: Only two  classes per week.
The clicker questions always tricky.
Class atmosphere: Positive.
"
Excellent,Just Right,Excellent,Good,Good,Always,Very interesting,Excellent,90-100%,Helpful,Very helpful,No opinion,Okay,Okay,7-10 hours,
Excellent,Just Right,Excellent,Good,Excellent,Always,Interesting,Excellent,90-100%,Very helpful,Helpful,Not Helpful,Okay,Okay,7-10 hours,"What instructor has done well: Kept all students engaged through great lectures.
Improvements to technique or style: Spend more time on actual working examples rather than on slides.
Course's strong points: Very interesting fundamental concepts of computer science.
Course's weak points: Language is not very applicable to real work, but I understand that it's the concepts that count.
Class atmosphere: No.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Often enough,Very interesting,Excellent,90-100%,Helpful,Helpful,Not Helpful,Okay,Too much,> 15 hours,"What instructor has done well: Dave is the beeeeeeeeeeest!
Improvements to technique or style: My Neighbour Totoro needed!!
"
Excellent,Just Right,Good,Excellent,Excellent,I did not seek help,Interesting,Excellent,50-75%,Helpful,Helpful,No text required,Somewhat too much,Too much,7-10 hours,"What instructor has done well: Really engages the class. Treats it like a performance, yet teaches everything that needs to be taught, leaving us both entertained and informed.
Improvements to technique or style: Would very occasionally stress and reiterate concepts that need not be reiterated. Asking for a show of hands on who understands the particular point might be an effective method to combat this. However, most of the times when Dave Tompkins stressed a point, it was for good reason and done the right amount.
Course's strong points: Learning recursion so thoroughly and being instructed in a fun way.
Course's weak points: Assignments far too long to complete in a reasonable amount of time, and also at times a bit more complex than I believe is needed to understand the concept. For some questions, it felt more like the writers were attempting to create an extremely challenging question rather than a helpful question. This was the minority of the questions, however. Also, the rigid design recipe was a time waster, which I believe could be better used in understanding the coding practices. I believe that code should be marked for being understandable and correct, not for following a rigid formula of style.
Class atmosphere: Nope. No discrimination.
Other Comments: The room was a good place.
"
Good,Somewhat too high,Satisfactory,Good,Excellent,Often enough,Very interesting,Excellent,90-100%,Helpful,Not helpful,No text required,Somewhat too much,Too much,7-10 hours,"What instructor has done well: Lectures are funny. Typing out examples are helpful.
"
Excellent,Just Right,Excellent,Excellent,Excellent,Always,Very interesting,Excellent,75-90%,Very helpful,Helpful,No opinion,Somewhat too much,Too much,> 15 hours,
