smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_8,smc_9,smc_10,smc_11,txt_1
,,,,,,,,,,,"Great enthusiasm, clearly possesses knowledge from a wide variety of fields in computer science - and does a great job of tying all the different areas together in lecture.  [nl]However, it was hard to be ""prepared"" for the lectures because notes only went up the day of - I had a hard time following along for many of the examples.  The take home message here is that students (especially ones without programming experience) need prior exposure to the lecture material so that when they actually come to lecture, it's a ""second pass"" and they will be primed to ask good questions. Pre-reading the chapter material (or in the case where there is no corresponding textbook chapter, pre-reading the lecture slides) is key to making sure the lecture doesn't get bogged down with trivial ""first-pass"" questions.[nl]Would have appreciated more in-class problems and take home questions.  I really enjoyed the programming examples done in Eclipse towards the end of the term.  Also, there seemed to be an increase in the number of take-home problems at the end of the term as well - this is a good thing!  [nl]With regards to the examples you use, it's important to get us to write the code.  Syntax is a big deal for novice programmers and on the exams, we don't have the luxury of using the IDE as a syntactical crutch.  For students to do well on exams that require written code, they need to practice writing code - problem solving is partly ""modality"" specific.  Seeing an example exclusively on the whiteboard  isn't sufficient for students to achieve ""deep understanding"".  [nl]In my experience, leaving blank ""fill in the code"" slides in the lecture notes is useful because it forces the student to write code and to engage with the problem at hand.  Don't go overboard with this, and make sure that in your written example you provide us with the code that you want us to fill in.  This way, the students are never left with pock-marked notes.  Formatting your online notes like this also gives an added incentive for students to attend lecture.[nl]Finally, don't let laptops on in class.  I STRONGLY suggest that you spend a few classes sitting in the back and observing what students are doing on their laptops.  Even though its a programming class, you don't ever actually need to use a computer in class.[nl]All in all, your lectures were really engaging.  If you tighten up some of the teaching practices (tough, I know, given that this is your first course), you will be an amazing lecturer.[nl]"
,,,,,,,,,,,"although he was busy studying in his own research, project, he has shown so much concern for each student.[nl]he tried to make the studying environment even more enjoyble. I am so glad that i could participated in his lecture."
,,,,,,,,,,,"He's a potential teacher. i have no input on how the teaching can be improved. But i think sometimes the explanation is not so clear, especially the theoretical part"
,,,,,,,,,,,"Doing examples together in class, and having examples prepared ahead of time is nice.  Very hard to follow when explanations/examples are made up on the spot."
,,,,,,,,,,,"Prof Dave has been great considering this is his first time teaching. He is genuinely interested in helping his students in learning the material.  However, he needs to develop a stable teaching structure that is effective.  I feel like he is experimenting too many ways of teaching and can be confusing.  Course load in general is heavy. Feels like we are rushing through a lot of the material."
,,,,,,,,,,,His office hours were very flexible.[nl]He was very friendly and helpful when answering questions.[nl]I enjoyed all his lectures.[nl]I enjoyed CPSC 211 almost as much as I enjoyed CPSC 111 despite CPSC 211 being more difficult.[nl]He should keep up the good work.
,,,,,,,,,,,more code writtings in the front please!
,,,,,,,,,,,He brought an enthusiasm that's really rare to see in professors which was awesome. My only complaint is that he let certain students ([NAME REMOVED]) monopolize class time with their own questions.
,,,,,,,,,,,"Dave was engaging, energetic, approachable, and understanding. He made a serious effort to engage the class, and took feedback seriously"
,,,,,,,,,,,"Course was effective and enjoyable. However, I would have liked to have seen Prof Tompkins do a bit more coding in class to show how certain things were done. This should be done on the overhead and NOT by hand on the whiteboard."
,,,,,,,,,,,"Very laid back instructor, taught in a way that could relate to students. Sometimes examples given were not clear, that should be improved."
,,,,,,,,,,,Professor Tompkins was a very creative and fun instructor. He brought applications of Computer Science and code to the classroom and beyond and showed us how one can utilize Computer Science as a very efficient tool on one side and a very fun toy on the other.
,,,,,,,,,,,You were great! Nice having you for the semester!
,,,,,,,,,,,He made the course interesting.
,,,,,,,,,,,"Dave was energetic and engaged with the students and made himself available at all hours to respond to questions and concerns. However, his in class presentation of the material may have assumed an existant familiarity or grasp of the subject which was not always there. I feel his lectures would benefit from reduced pace on non-review material whenever new topics are introduced."
,,,,,,,,,,,"Dave was a very good teacher.  He was always available to help outside of class, and if you went to see him, he made sure you understood all the material.  He was respectful of students and took the time to help them."
,,,,,,,,,,,He would always make the class interesting with his enthusiasm for the course even though some of the topics were boring.
,,,,,,,,,,,"very entertaining, kept me awake. I just dont like the course..."
,,,,,,,,,,,Dave was always helpful answering questions and presenting the materially effectively. He also gave great examples that showed the in an outs of Java and programming in general
