Response ID,Response Time,Q1: Respect,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Helpfulness,Q3 Select Index,Q3 Comment,Q4: Instructor Overall,Q4 Select Index,Q4 Comment,Q5: Organization,Q5 Select Index,Q5 Comment,Q6: Clear Expectations,Q6 Select Index,Q6 Comment,Q7: Content Usefulness,Q7 Select Index,Q7 Comment,Q8: Assignment Value,Q8 Select Index,Q8 Comment,Q9: Feedback,Q9 Select Index,Q9 Comment,Q10: Use of Technology,Q10 Select Index,Q10 Comment,Q11: Learning Climate,Q11 Select Index,Q11 Comment,Q12: Course Overall,Q12 Select Index,Q12 Comment,Q13: Expected Grade,Q13 Select Index,Q13 Comment,Q14: Required or Elective,Q14 Select Index,Q14 Comment,Q15: Workload,Q15 Select Index,Q15 Comment,Q16: Course Strengths,Q16 Select Index,Q16 Comment,Q17: Course Weaknesses,Q17 Select Index,Q17 Comment,Q18: Improvements to be Made,Q18 Select Index,Q18 Comment
311942,2017-11-21T14:21:44.176479,Neutral,2,,Neutral,2,,,,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Neutral,2,,70-80,3,,Required,0,,Less than 10 hours,1,,,,,,,,,,
313620,2017-11-21T18:09:51.128631,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Disagree,1,,Neutral,2,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Above 90,5,,Elective,1,,Around 10 hours,2,,,,,,,Some of the assignments notably near the end take too long to complete ,,,Simplify the excel/html assignments and what is expected from us 
330514,2017-11-27T14:10:47.122879,Strongly Agree,4,,Strongly Agree,4,The youtube videos were very detailed ,Strongly Agree,4,,Strongly Agree,4,"All the material was presented in a way that was easy to understand, especially for beginners who have never touched a computer science course before and had no background knowledge about excel or HTML coming into this course.",Strongly Agree,4,,Strongly Agree,4,marking followed exactly as in syllabus.,Strongly Agree,4,The quizzes summarized the main points of the modules.,Strongly Agree,4,"The assignments were a great way to understand how to use and apply the information learned in the modules, really helped with memorizing.",Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,"Very informative, can learn a great deal in very little time.",,,,,,
341350,2017-11-29T00:07:51.466013,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
320461,2017-11-23T03:00:01.428964,Neutral,2,,Strongly Agree,4,,Neutral,2,,Neutral,2,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
361828,2017-12-04T17:25:04.948651,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
314283,2017-11-21T19:39:05.396073,Neutral,2,"Online course, never met course instructor ever, only heard him in lecture videos (I am assuming it was him).",Agree,3,,Disagree,1,TAs helped students.,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Disagree,1,,Agree,3,,Agree,3,,Strongly Agree,4,,80-90,4,,Elective,1,,Around 10 hours,2,,,,,,,,,,
335717,2017-11-28T14:39:14.994778,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,The application part of the weekly assignments ,,,,,,
346517,2017-11-29T19:20:28.446720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343046,2017-11-29T16:20:45.203200,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,50-60,1,,Elective,1,,Around 10 hours,2,,,,,,,,,,
362466,2017-12-04T19:35:46.687579,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
320287,2017-11-23T01:09:49.598817,Agree,3,,Agree,3,,,,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,,,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
325829,2017-11-24T00:11:50.857248,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Above 90,5,,Elective,1,,More than 10 hours,3,,,,Layout and good instructors ,,,Not fully knowing how to do assignments ,,,
353650,2017-11-30T17:33:35.647015,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,videos and lecture notes explained the content well. quizzes and assignments teach your knowledge well,,,markings of assignments take longer than expected,,,"Mark faster and for dropbox assignments, attach an answer key after the due date to help students understand their mistakes. Easier for students to study if they have access to their past quizzes and they can see what they got wrong."
334367,2017-11-27T22:33:06.192612,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,80-90,4,,Elective,1,,Around 10 hours,2,,,,,,,,,,
357505,2017-12-01T17:28:35.821693,Agree,3,,Agree,3,,,,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Around 10 hours,2,,,,,,,,,,
356215,2017-12-01T01:55:44.755852,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
311460,2017-11-21T13:23:03.896852,Strongly Agree,4,,Agree,3,,,,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Above 90,5,,Elective,1,,Around 10 hours,2,,,,,,,,,,
335834,2017-11-28T14:42:20.907380,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,70-80,3,,Elective,1,,Much less than 10 hours,0,,,,Informative,,,Presentation of material,,,N/A
336190,2017-11-28T15:07:28.157877,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
312206,2017-11-21T15:33:20.288537,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
312448,2017-11-21T16:01:43.372575,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Required,0,,Around 10 hours,2,,,,,,,,,,
315292,2017-11-21T22:35:49.161986,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,all the aspects of web designing and excel functions that were taught that are useful for life,,,there is not a lot of feedback on individual assignments. there is only common mistakes,,,give personalized feedback on assignments and give feedback before other similar assignments are due so students can correct their mistakes 
355254,2017-11-30T21:06:53.055595,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Neutral,2,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
315243,2017-11-21T22:02:34.755461,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much more than 10 hours,4,,,,,,,,,,
313866,2017-11-21T18:24:57.085770,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
316090,2017-11-22T02:35:57.120210,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Much more than 10 hours,4,,,,"Html, CSS, Advanced Excel functions",,,Computer Organization,,,Optional daily short activities/questions to strengthen insight on the current/upcoming module for students who want to learn more
360254,2017-12-04T03:26:14.779154,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,clear format and layout of the course structure,,,Would appreciate a more responsive team for questions. Some assignments were hard to follow,,,Break down some complex assignments like with HTML. Just have part A (knowledge) and B (practical)
324386,2017-11-23T19:54:04.338216,Agree,3,,Disagree,1,,Neutral,2,,Disagree,1,,Disagree,1,,Disagree,1,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Disagree,1,,Neutral,2,,70-80,3,,Required,0,,Less than 10 hours,1,,,,,,,"the way things are taught. Instructions aren't clear, doesn't provide the right resources and doesn't teach enough to be able to do the assignments without seeking help from other resources. ",,,"It's a CS 100 course, make sure that you're teaching it in a way that someone who knows absolutely nothing on the subject would understand. Make instructions more clear and easier to understand so others don't have trouble and have to go else wear to find help to be able to complete assignments."
338419,2017-11-28T18:09:31.842411,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
341886,2017-11-29T13:35:44.474280,,,,Agree,3,,,,,Disagree,1,,Disagree,1,,Disagree,1,,Disagree,1,,Strongly Disagree,0,,Strongly Disagree,0,,Agree,3,,Agree,3,,Strongly Disagree,0,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
352351,2017-11-30T15:15:12.236714,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,I believe this is a very good introduction to computer science as it teaches both a bit of hardware and a bit of software. ,,,"The course is a bit too broad leading to jumping from topic to topic. hardware, network, html, and excel is a good introduction to computer science but maybe teaching more in-depth about 1 or two should be enough. Wished there was a bit more focus on coding.",,,I believe this is a great course if the student will continue with multiple computer science courses the term after. If not the student will forget a lot of what they learned the following term due to the broadness of the course. 
351702,2017-11-30T05:51:57.931681,Strongly Disagree,0,This is the first place I've seen the profs name ,Agree,3,,Strongly Disagree,0,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Required,0,,Around 10 hours,2,,,,"Good course material, relates to quizzes well",,,The part C assignments were not clear at all. The HTML ones and expectations of it were not explained at all and confusing ,,,"Fix HTML stuff, confusing to students who are new to this "
330136,2017-11-27T00:40:35.077847,Strongly Agree,4,,Agree,3,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,More than 10 hours,3,,,,"The assignments. They really help enforce the content and help one learn and gain experience with what is being taught by allowing one to explore the programs on their own. Office hours everyday at the tutorial center was also very helpful, the TAs were always helpful and understanding. ",,,,,,I think for HTML and css it would have been more useful to have youtube videos of the modules instead of the written modules because it was sometimes hard to comprehend what the tags and styles were doing.
311453,2017-11-21T13:18:48.728059,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,More than 10 hours,3,,,,,,,,,,
314183,2017-11-21T19:34:15.761004,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
318932,2017-11-22T19:38:01.371810,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,EVERYTHING ABOUT IT,,,NONE,,,
361737,2017-12-04T16:57:17.014752,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,I had never learned cs before taking this course and I think it is a good introductory course to cs for students who have no prior knowledge on this subject,,,"not everything is given in the module videos, many things had to be researched to understand",,,provide trusted external links we could use to help us understand the content more
313043,2017-11-21T16:44:51.257384,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,70-80,3,,,,,Much less than 10 hours,0,,,,clear instructions and examples,,,N/A,,,"N/A, very good course"
361941,2017-12-04T17:40:53.086842,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
311972,2017-11-21T14:29:46.034652,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,"Good introduction to coding and excel
",,,Some of the theory-based materials are unnecessary ,,,None
315649,2017-11-21T23:51:59.605854,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Required,0,,Much less than 10 hours,0,,,,,,,,,,
353780,2017-11-30T17:45:14.411780,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,the way content is organized and explained. put in a way that is easy to learn and grasp,,,more professor/TA and student interaction would be beneficial.,,,spellcheck some of the video transcripts because some of them are way off 
319480,2017-11-22T21:05:49.477646,,,,Strongly Agree,4,,,,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,,,,Neutral,2,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
351945,2017-11-30T13:41:33.502950,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,Clear organization. Weekly assignments and quizzes are helpful in learning.,,,,,,
356007,2017-12-01T00:21:16.673285,Disagree,1,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,,,,Neutral,2,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,the video modules,,,the excel modules,,,improve the excel portion
350880,2017-11-30T01:38:32.887152,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Around 10 hours,2,,,,,,,,,,
364179,2017-12-05T02:38:10.990753,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Required,0,,Less than 10 hours,1,,,,,,,,,,"I think it would have been helpful to see a video for the html and css modules, because it took me a while to get the hang of it, and would have been relatively easier to understand by seeing someone do it."
331966,2017-11-27T17:46:27.599985,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much more than 10 hours,4,,,,,,,,,,
315401,2017-11-21T23:31:40.348459,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Disagree,1,,Agree,3,,Neutral,2,,Agree,3,,Above 90,5,,Elective,1,,Around 10 hours,2,,,,the ability to go at your own learning speed,,,there seemed to be a lot of mistakes when posting the assignments (sometimes would be posted a day or more late but we were still expected to submit it on time),,,perhaps add in some practice tests that don't count for marks to help with learning
340236,2017-11-28T20:31:42.254799,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,Great use and integration of course information with presentation of course. Learned a lot and liked how the course was done.,,,,,,
314943,2017-11-21T20:57:08.100932,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
315546,2017-11-21T23:40:56.904527,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Disagree,1,,Disagree,1,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,50-60,1,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
329614,2017-11-26T01:46:11.936235,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
343004,2017-11-29T16:17:24.537066,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Disagree,1,,Disagree,1,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
350260,2017-11-29T23:33:55.429500,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
354595,2017-11-30T19:10:11.756467,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
362146,2017-12-04T18:28:28.716176,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Neutral,2,,Agree,3,,Disagree,1,,Disagree,1,,Disagree,1,,Strongly Disagree,0,,Agree,3,,Agree,3,,Disagree,1,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,,,,Emphasizes basic concepts which should already be known to most or concepts and functions that are minimally relevant to those not in the CS field. ,,,Ensure assignments are worded correctly for all students to understand and test for more than just the ability to restate the information from the modules.
312307,2017-11-21T15:41:17.411485,Neutral,2,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
351141,2017-11-30T02:22:29.901597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316381,2017-11-22T13:36:15.343282,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,Youtube videos that were good for the explanation of certain topics (visuals were helpful),,,"Some questions in the assignments (usually the multiple choice) were difficult to answer, as it could have been indirectly spoken about in the notes",,,
