smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_8,smc_9,smc_10,smc_11,txt_1
,,,,,,,,,,,"He was really into teaching this subject and really cared that we understood the material and were doing well. As a suggestion - I noticed that he tended to talk a little excessively about administrative decisions (like when we would have assignments due, how many midterms did we want, how did we find the last assignment, etc.) After about twenty minutes I really just wanted to start learning the material."
,,,,,,,,,,,The instructor showed concerns of how students are learning in the course and the general class progress and made several adjustments throughout the year. He also provided clear instructions on course materials and do reviews of labs and lectures.
,,,,,,,,,,,"This was a very interesting course for me, and it covered many important topics. However, I felt that I wasn't getting enough feedback in the second half of the course. Still, the instructors were always available when I had questions. [nl]The course could have been more organized to enhance the learning experience. [nl]Overall, the instructor was very helpful, and the course was very rewarding."
,,,,,,,,,,,"You made class very interesting with all your awesome stories! The whiteboard lectures were helpful. Sometimes I felt the slides were run through very quickly and there was a huge gap between the difficulty levels of the first midterm and the first assignments. However, the other exams and assignments were well balanced. Overall I feel like I learned a lot from this course and from Dave! Thanks!"
,,,,,,,,,,,"Dr Tompkins had a tough task in teaching this course in 6 weeks - I believe it used to be two courses, and it felt like enough content to be spread out over 26 weeks.  The final exam was appropriately styled to the pacing of the course, highlighting the areas that we focused on.  His class was fun and open, and he was very approachable and easy to talk to."
,,,,,,,,,,,"This instructor didn't seem like he was paying as much attention to the students as he should have. Frequent mistakes in lectures made learning harder for students. Also, there were frequent delay of online solution posts and assignments."
,,,,,,,,,,,"more time for problem sets, easier questions, tutorials that help with questions, allows questions ask and gives questions, maybe even review a quiz that was done preclass"
,,,,,,,,,,,going over each learning goal and making sure it was clear what was important in lecture and labs
,,,,,,,,,,,"It would be helpful if the notes/slides were more organized and had more examples with answers. Also, if less time was spent going through old quizzes and assignments, unless there was a specific one that caused a lot of trouble. Also, updates to website were slow. Overall, I felt the teacher was concerned for our learning. He cared about our opinions though at took too long sometimes. Anyways, with more practice he probably will be a great teacher. Can be funny and interesting."
,,,,,,,,,,,"I thought that Dave was a superb lecturer--his style of teaching really got us into the material at the beginning of the term. Sometimes, though, when you have a good lecturer, it can lull us, as students, into a false sense of security regarding the difficulty of our first exam. While I agree that our first midterm was quite challenging, Dave quickly corrected any mistakes he may have made in the first part of the course by making it very clear what we were supposed to learn, and adjusting the difficulty of various assignments and practice problems to suit us better. Overall, Dave was a great instructor--although assignment 4 could have been returned earlier, the due date was pushed later arguably because it gave us more time to work on the problems."
,,,,,,,,,,,"Dave Tompkins worked very hard on making the class interesting! It's a lot of pressure to make a class sound fun especially in summer and he did a great job!! He was always enthusiastic and full of energy. Although our first midterm exam was quite hard and a lot of people got discouraged after getting a low score, that actually helped Dave get a feel for our class and after that he really stepped it up and prepared us well for the second midterm + final. I really enjoyed his class although it was challenging!"
,,,,,,,,,,,I liked how the he showed the real life application of the concepts we learned as an extension of the material. This makes the course more interesting and meaningful.
,,,,,,,,,,,"Overall, he was very interesting instructor and interesting course, but the material was rushed too much and exam was too long for give amount of time"
,,,,,,,,,,,"The instructor talked abut active computer science research areas, ands stimulated my interests in computer science."
,,,,,,,,,,,"I appreciate how he always tries to make the course interesting for the students. Also, it can be seen that he really cares for the success of his students. However, I believe the pacing for this course was a bit unbalanced. Too much time was spent on ""administrative"" discussions."
,,,,,,,,,,,I liked many real life examples that Dave gave in class that related to what we were learning.
,,,,,,,,,,,"Dave Tompkins was very effective in keeping the course interesting as well as in promoting active learning from the students. However, this sometimes led him off-track in getting to the main point of the material which was sometimes frustrating (especially in a fast-paced summer course). But all in all, Dave went above and beyond to ensure we had fun in the course and that our learning was not just restricted to the learning outcomes of the course."
,,,,,,,,,,,Humour always kept course interesting.
,,,,,,,,,,,"He definitely did a great job of making the subject interesting, and taught fairly well, but his first midterm wasn't a fair test of the material I found. His other tests were fair though and that midterm, as well as some ambiguous descriptions of the course learning goals, are my only complaints regarding the course."
,,,,,,,,,,,Class voting on what would be best.  We could schedule exams and how many midterms as a group!
,,,,,,,,,,,"While going through questions of quizzes and assignments is great, I think we don't have to go through all of them, we could spend more time on group discussions and activities."
,,,,,,,,,,,"The organization of the course could use some improvement. I don't think this was Dr.Tompkins' fault as an instructor as this was his first time teaching a full course (or first time teaching a summer course). He mentioned at several points during the course that he was still learning and trying to figure out how the course worked. I really think UBC should appoint first time instructors as ""co-instructors"" rather than hand over the responsibility of an entire course right away. There was an issue with the first midterm (which he promised he would scale) and an assignment which was put out really late and made due in 2 days from the day it was assigned (which he apologized for but this shouldn't happen during the summer due to the pace of the course). Overall he did realize during the course where he could improve and this is a good sign for a new instructor."
,,,,,,,,,,,He took a boring course ( as said by previous students that took the course) and made it so that it was interesting as well as fun.[nl]An interactive environment was created by Dr. Tompkins where not just the students that sit in the front would answer ( the usual ) but everyone would understand what he was teaching and be able to answer the question well.
