smc_1,smc_2,smc_3,smc_4,smc_5,smc_6,smc_7,smc_8,smc_9,smc_10,smc_11,smc_12,smc_13,smc_14,txt_1,txt_2,txt_3,txt_4
,,,,,,,,,,,,,,75%,na,Lack of direct/forced interaction. n/a,have office hours that are on campus and not just based on request. regular office hours just like every other course at waterloo. It is even more essential seeing as this course is online. Having the lecture content be videos with audio and explained examples instead of just written words titling the modules.
,,,,,,,,,,,,,,85,none,Lecture content very dull and boring to read. Had to google how to do a lot of things. Did not explain several things clearly. Should had a video explaning how to create a wiki page.  No idea how to create one.,I thoroughly enjoyed your course. Your TAs reply significantly better than my other course. Please keep the format.
,,,,,,,,,,,,,,70,Practice questions throughout the modules helped to think about the material being presented but not having answers to them mad it difficult to tell if we were on the right track.,Many of the questions were such fine points that  it was difficult to answer the question even if I did the reading. Doing the reading was marginally beneficial.,"If an assignment require to create a web page,  there should be a video that helps the student to start the basics. Was really lost and frustrated trying to figure it out."
,,,,,,,,,,,,,,65%,Quick responses from the ISAs and clear communication between us - modules related to excel were extremely helpful for a business student - Covered a broad range of programs,na,Incorporate some video content in the course material.
,,,,,,,,,,,,,,80,Straight forward.,Part a of the assignments were ofter very confusing due to the way they were asked too much work,Instructions to certain assignments were unclear that allowed for mistakes made by students.
,,,,,,,,,,,,,,90,TA availibilty,Readings are largely unimportant,"Keep the modules consistent. Outline major terms that students should keep in mind, instead of trying to hide them within the text. Students will most likely use the Search function anyways."
,,,,,,,,,,,,,,85,"Teaching core skills such as excel, basic html, and wikiartiacle design. suitable","Sometimes it gets hard when there are question arised, requires more time to solve.","Make a video as if you are lecturing us about the material in class. Split the readings over the course and don over kill it by assigning the course of 50 pages for one week,  and be realistic in your expectations of what students should read. By that I mean that don't make the lecture redicously boring and add to that more boredom by reading books"
,,,,,,,,,,,,,,85,The course is elaborate and provides extensive exercises to help students with learning. modules were well organized and ISAs were very helpful,Sometimes the material was hard to understand and not clear. There are some errors within the module notes,"More communication between students, TAs and instructors?"
,,,,,,,,,,,,,,70,"The later course content on HTML, Wiki Text and Web crawling was interesting.",The length of the assignments and how critically theyre marked,More optional practise questions would be handy. no suggestions
,,,,,,,,,,,,,,80,The modules arent that long to read through making it easier to sit down and concentrate. organization,"The material is hard to understand by just reading, I feel as though this course should be more ""doing"" than ""reading"" (ie. practive problems)",more videos
,,,,,,,,,,,,,,91,"the organization, and the videos","The material presented in the modules were very different fromt the quizzes and assignments - A lot of the learning was to be done on our own using alternative websites and searching through Google - Excel was an extremely difficult unit, especially for",na
,,,,,,,,,,,,,,80%,,The practise examples are not complex enough to assist with learning. more feedback on the assignments would have been nice,Redesign and rethink the entire way you teach excel for the online course
,,,,,,,,,,,,,,80%,,The presentation of course materials are weak. A lot of the material is badly worded. The multiple choice answers to several of the questions are very subjective. When provided proof that was stated in the course material to the ISAs was still considered wrong. The answers to the multiple choice were wrong multiple times and had to ask the ISAa why answers were wrong when clearly right. Stated it was a mistake and be changed  later.,"reorganize the order of the modules. the excel weeks were by far the most difficult part of this course, and was introduced very early on in the course."
,,,,,,,,,,,,,,80%,,"The readings- all of them seem lifeless and almost painful to read. Hardly anything is taught through them, we are just instructed to read and figure it out  ourselves.","Should review the material and reread questions and course material for clarity, grammar, sentence flow, and wording. Remove  options of all of the above/none of the above options as they do nothing to provide students with effective answers."
,,,,,,,,,,,,,,80%,,very dry material. too many assignments.,Show detailed videos on how to do nested functions in Excel (to the degree of difficulty we have to show in our assignments and quizzes) Have the modules show the same difficulty as the assignments. Students often had to ask one another and use YouTube videos to explain the material even after spedning a few hours re-reading the modules.
,,,,,,,,,,,,,,80%,,would of much rather had an on campus lecture than online,Suggest having a case study for some of the topics. N/A
,,,,,,,,,,,,,,80-85%,,,Teach it - have recordings of the instructor going through each module and explaining the point of it and what keys to focus on. We should not have to teach ourselves a course we paided this much for.
,,,,,,,,,,,,,,85%,,,
,,,,,,,,,,,,,,85%,,,
,,,,,,,,,,,,,,85%,,,
,,,,,,,,,,,,,,85% or higher,,,
,,,,,,,,,,,,,,88%,,,
,,,,,,,,,,,,,,90%,,,
,,,,,,,,,,,,,,90%,,,
,,,,,,,,,,,,,,90%,,,
,,,,,,,,,,,,,,92%,,,
,,,,,,,,,,,,,,About an 80-85%,,,
,,,,,,,,,,,,,,hopefully I pass. the final is worth too much for a class where we have to teach ourselves,,,
,,,,,,,,,,,,,,I hope to get a 75%,,,
