Response ID,Response Time,Q1: Respect,Q1 Select Index,Q1 Comment,Q2: Explanations,Q2 Select Index,Q2 Comment,Q3: Helpfulness,Q3 Select Index,Q3 Comment,Q4: Instructor Overall,Q4 Select Index,Q4 Comment,Q5: Organization,Q5 Select Index,Q5 Comment,Q6: Clear Expectations,Q6 Select Index,Q6 Comment,Q7: Content Usefulness,Q7 Select Index,Q7 Comment,Q8: Assignment Value,Q8 Select Index,Q8 Comment,Q9: Feedback,Q9 Select Index,Q9 Comment,Q10: Use of Technology,Q10 Select Index,Q10 Comment,Q11: Learning Climate,Q11 Select Index,Q11 Comment,Q12: Course Overall,Q12 Select Index,Q12 Comment,Q13: Expected Grade,Q13 Select Index,Q13 Comment,Q14: Required or Elective,Q14 Select Index,Q14 Comment,Q15: Workload,Q15 Select Index,Q15 Comment,Q16: Course Strengths,Q16 Select Index,Q16 Comment,Q17: Course Weaknesses,Q17 Select Index,Q17 Comment,Q18: Improvements to be Made,Q18 Select Index,Q18 Comment
610751,2019-07-24T14:50:20.670229,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,,,,Required,0,,Less than 10 hours,1,,,,"Interesting, relevant material, usually presented in a way that is easy to understand. Transcripts provided for videos were extremely helpful for note-taking",,,"Long videos can be a bit boring and dry, and can be hard to take notes from.",,,
594518,2019-07-15T15:50:32.218302,Neutral,2,,Agree,3,could have added more relevant examples related to the assignment objectives,Disagree,1,Never assisted with helping students,Disagree,1,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Disagree,0,there was no feedback given. you were just provided with a mark for each section and no reason for why you got those marks wrong.,Agree,3,,Neutral,2,,Neutral,2,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,it's online,,,"ISAs do not reply to questions in a timely manner, don't often answer all your questions and said ""office chat hours"" were not true. My questions were not answered when I tried asking during that hour. As well, many students who take cs100 online are often on coop terms and therefore only have time to work on these assignments during weekends which ISAs do not reply to emails. Sometimes things we are stuck on leads to another part in the assignment which we cannot complete until we have our question answered and assignments are due on monday nights. however, again, if on coop, we can only finish the assignment after having the response and during after work hours. TAs from other classes I have previously taken were able to reply to questions in a timely manner. ",,,was mentioned in the weakness section. 
612449,2019-07-25T00:07:45.239009,Agree,3,,Neutral,2,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,70-80,3,,Elective,1,,More than 10 hours,3,,,,Good content,,,It's online,,,Make it an on campus course rather than online 
614778,2019-07-26T05:28:13.402415,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,the videos ,,,sometimes the transcripts were not extremely clear,,,"instead of supplying transcripts to videos, there should instead be notes"
611027,2019-07-24T15:35:07.603058,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,The videos are easy to follow along. The examples used were good for students who have no previous experience/knowledge of computer science. ,,,"Some concepts are purely explained with examples, which were hard to apply when we had to answer the questions in our own words for the quizzes.",,,"For some concepts, maybe try to give more concrete explanations rather than using examples so it is easier for students to apply the knowledge. However, the examples are still extremely useful."
594123,2019-07-15T12:41:05.559995,,,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,"Useful with practical, real-life applications.",,,,,,
612434,2019-07-24T23:50:24.265556,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,70-80,3,,Elective,1,,Around 10 hours,2,,,,,,,,,,
594396,2019-07-15T14:42:52.484902,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,,,,,,,
598078,2019-07-17T13:00:59.394433,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,- weekly assignments helps students stay on top of course content,,,- lack of feedback at times,,,
594207,2019-07-15T13:24:34.045901,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Disagree,1,,Neutral,2,,Agree,3,,Neutral,2,,Neutral,2,,Neutral,2,,Neutral,2,,80-90,4,,Elective,1,,More than 10 hours,3,,,,It is very informative and I feel like my skills with Excel and understanding of coding was definitely improved. ,,,Instructions for some of the instructions were unclear or left for the student to interpret. The feedback that was given could be more detailed and it would be nice if we got grades back from the previously assignment before submitting the next. The time to do the assignments were slightly shorter would be better if they were longer.,,,"For someone who had almost no prior knowledge to coding, I found the 1 week deadlines for the html assignments to be quite stressful as I would always run into issues quite last minute even starting early. Maybe extending the due dates for the html assignments would be helpful or maybe a document for each assignment with common mistakes or trouble shooting solutions would be helpful"
594097,2019-07-15T06:07:55.054461,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,80-90,4,,Elective,1,,Around 10 hours,2,,,,The lecture videos helped greatly. ,,,,,,Certain assignments were very time consuming and more challenging than others. The weights for the assignments should be shifted to reflect this. 
597866,2019-07-17T02:56:52.909665,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Required,0,,Less than 10 hours,1,,,,Useful and interesting content. Very organized and interesting. One of my favourite courses of my entire undergrad so far. Assignments were very useful and practical and encouraged further learning.,,,None,,,"The only thing I can think of would be to allow students to read the modules ahead of time. If you would like students to not do the entire course in a week (which I feel like is the idea behind locking it week by week) the assignments can stay locked. This is not that big of a deal though. One of the most organized and best courses I've ever taken with wonderful TAs and a funny, respectable , and caring instructor."
612096,2019-07-24T19:30:24.279650,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Disagree,1,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,60-70,2,,Elective,1,,Around 10 hours,2,,,,,,,,,,
605735,2019-07-19T18:58:25.936194,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Strongly Agree,4,,Agree,3,,Neutral,2,,80-90,4,,Elective,1,,Around 10 hours,2,,,,"Very informative in learning basics of computers and the internet. It is a good elective to take because the effort to result ratio is good (if you take the time to learn concepts, it isn't too difficult to do well).",,,"It could have introduced more advanced material, however the course can obviously only cover so much.",,,Maybe add optional practice quizzes that can be done before the actual assignment to review essential content.
594550,2019-07-15T16:22:03.844954,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,"Completing the assignments hands on, and working through the quizzes",,,The application assignments tend to be a bit unclear on how to complete them.,,,Possibly hold an optional tutorial session to answer all possible questions one might have.
613669,2019-07-25T16:04:34.031158,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,,,,,,,
607008,2019-07-22T14:24:09.778298,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Strongly Agree,4,,Disagree,1,,Agree,3,,Agree,3,,Neutral,2,,70-80,3,,Elective,1,,Around 10 hours,2,,,,A introduction to using computers and some applications ,,,,,,Fix up the transcripts as they are kind of hard to read sometimes. 
618469,2019-07-30T18:08:36.614749,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,Agree,3,,70-80,3,,Elective,1,,Less than 10 hours,1,,,,I enjoyed the hands-on assignments where it required us to submit documents to dropbox as I feel like I learned much more from that assignment than the quizzes.,,,Sometimes I see a disconnect between the modules as I'm not sure how they all connect together.,,,Uploading directly to dropbox would be better than uploading to server. 
617679,2019-07-30T01:26:24.136578,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,The video and transcripts module presentations,,,The modules without the video presentations,,,Nothing. I loved this course and learned so much useful information that I can apply in the future.
615400,2019-07-26T18:02:36.232192,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,70-80,3,,Required,0,,Around 10 hours,2,,,,,,,,,,
612200,2019-07-24T20:32:31.789763,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Neutral,2,,Disagree,1,,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,Informative and descriptive YouTube videos,,,Modules that were plain text,,,"Instead of using text as learning materials, videos or other methods would be better"
595341,2019-07-16T00:26:52.473285,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Required,0,,Less than 10 hours,1,,,,good videos and descriptions. Easy to follow along! Great and fun class,,,hard to study specific examples,,,
611719,2019-07-24T18:07:02.725651,Neutral,2,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,The modules explain the concepts clearly and the assignments further the understanding of the  concepts.,,,"Sometimes there are some technical issues for the quizzes. For example, the link in the quizzes cannot be opened.",,,
594711,2019-07-15T17:50:04.627055,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Around 10 hours,2,,,,Content is easy to understand and learn.,,,,,,
610485,2019-07-24T14:07:29.967468,Agree,3,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,"The option to go through the modules through video format or by reading transcripts was very helpful, especially for students who have different learning styles. I also appreciated the humor that was embedded into the modules. It made the course much more fun and amusing, and made me a fan of the professor. ",,,None. ,,,Add more memes into course content for the good laughs. 
611129,2019-07-24T15:48:18.576393,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
610416,2019-07-24T14:02:01.524962,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Much less than 10 hours,0,,,,The hands on assignments for the course really help solidify knowledge,,,"Some of the material is very dry, because there is no way to do any assignments.",,,Add more Rick Astley memes
594570,2019-07-15T16:57:51.614397,Strongly Agree,4,,Strongly Agree,4,,,,,Strongly Agree,4,,Agree,3,,Neutral,2,,Agree,3,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
614605,2019-07-25T23:14:33.196858,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Required,0,,Less than 10 hours,1,,,,"Overall, it was a great course and helped me to improve computer knowledge and software skills.
It gave me the opportunity to learn Excel, Intro to Linux Server, most importantly - HTML and website creation",,,I believe the course should elaborate more on HTML and CSS.,,,"Rather than having Multiple-choice Quizzes, there could be proper assignments just like other courses."
611949,2019-07-24T18:41:34.776926,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,80-90,4,,Elective,1,,More than 10 hours,3,,,,,,,,,,
611528,2019-07-24T17:13:56.497202,Disagree,1,,Disagree,1,,Strongly Disagree,0,,Strongly Disagree,0,,Disagree,1,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Agree,3,,Neutral,2,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,"Design better assignments. Stop putting redundant questions like changing an entire sentence like Hello Mr.Goose into code. Or the conversions to hexadecimals and such. A 3-4 letter word would be sufficient to test knowledge and make sure students have learnt how to do it. Transcribing sentences is tedious is meaningless, felt that I was wasting my time and not learning anything. "
611519,2019-07-24T17:09:29.317246,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,,Strongly Disagree,0,Faculty had so many tech error in assignments and for submitting,Strongly Disagree,0,,Strongly Disagree,0,,70-80,3,,Elective,1,please don't force students to take this course,Less than 10 hours,1,,,,none complete waste of my time,,,"1. the assignments were so lengthy in a non-useful way. there were repetitive questions (i.e. finding HEX# for HELLOMRGOOSE) yet some special emojis(font) couldnt be found anywhere
2. there were so many technical errors, i.e. the hyperlink wasn't working, and the marking rubric was so harsh on students.

3. feel instructor purposely made this course more difficult because it is an elective

4. Retarded how TAs force us to post our website/assignments/pic on the UWaterloo public domain. As a student I'm more than happy to do so, but there were so many technical steps and error (Such a lengthy process) for students to do so, i.e. we have to change our command options, then download VPN so we can VPN to school network, etc.etc. 
The difficulty level to complete that is harder than ANY assignments that I had to do this term - what's the point? Why are we losing 5 marks (out of 30-40) if we don't upload it correctly? The marking weight to that is just so high, and it's a recurring issue for any assignment, so students constantly lost 5-10% on assignment because our computers aren't working to upload it. It's just so unfair",,,pls see comment above. ironic how it's a CS course and there are that many technical errors.
610745,2019-07-24T14:49:18.176593,Neutral,2,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,60-70,2,,Elective,1,,Less than 10 hours,1,,,,"Its a great intro course to CS (because it is an intro course, i know). it eases you into coding and excel.",,,"some modules were particularly difficult, and the instructions for the assignment were sometimes confusing.",,,provide more clear instructions to the specifics of the assignments.
598759,2019-07-17T14:30:29.678795,Neutral,2,No interaction with the proffessor,Disagree,1,"Some content was easy to understand, however some explanations were long winded and confusing. The fact that the transcripts had many spelling, grammatical, and content error did not help the ease of understanding. The clarity of course content was inconsistent across modules.",Neutral,2,No interaction with the proffessor,Strongly Disagree,0,"I had very little interaction with the instructor if any at all, all communications and course postings were done by the TA's",Strongly Disagree,0,"The course lacked structure, at the beginning the intended format communicated was for lectures to be in the form of videos with the available transcript to read. However the video component was removed halfway through the term, which was quite annoying when the transcript referenced an image that you could not see. In addition to that the transcripts were full of errors, and were difficult to read as a result, as they constantly had words striked out and extra words added. Further to this point the course material and available course resources only covered half the material we were expected to understand fort he module assignments. Furthermore assignments were described to be posted on the Monday of the week and due the next Monday (as per the syllabus), some weeks the content didn't get posted to later reducing the amount of time available to complete the assignments. The syllabus was also very vague regarding the grade break down and inconsistent with the version posted on learn",Neutral,2,,Neutral,2,The learning objectives were formatted as being the heading of each of the sections within the module. There were often times where we were tested on content outside of what was indicated in the course material. These questions did not help achieve the learning objectives,Agree,3,"Since assignments covered content not included in course material, completion of the assignments required me to take the time to learn extra material on my own through other online sources.",Disagree,1,There generally wasn't any feedback for assignments unless you actively sought it out.,Disagree,1,,Neutral,2,,Agree,3,,70-80,3,,Elective,1,,Around 10 hours,2,,,,"Although the quality of content varied throughout the course some of the better lectures were actually very good, and made it easy to understand topics especially for students without a computer background",,,The course more or less seemed to be run by the TA's who seemed to lack experience in the intricacies of running a course or creating quizes ,,,
594092,2019-07-15T04:29:12.606252,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,Love the videos!,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,More than 10 hours,3,,,,"great lecture content, the videos were well-presented

the assignments were useful and enhanced my learning and application of course content",,,N/A,,,more videos!
606714,2019-07-21T20:30:55.370579,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Neutral,2,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
613492,2019-07-25T15:16:33.801742,,,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Around 10 hours,2,,,,The course material was well organized.,,,Nothing,,,Maybe post more announcement on learn.
616218,2019-07-28T22:38:18.666256,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Neutral,2,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Above 90,5,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
612571,2019-07-25T03:31:04.386485,Agree,3,,Agree,3,,Agree,3,,,,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
610341,2019-07-24T13:40:03.042130,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,Strongly Agree,4,,80-90,4,,Elective,1,,Much less than 10 hours,0,,,,,,,,,,
598566,2019-07-17T14:11:31.125065,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Less than 10 hours,1,,,,,,,,,,
613855,2019-07-25T16:51:10.859612,Agree,3,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Strongly Agree,4,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Elective,1,,Around 10 hours,2,,,,"The application of the module content in the Part C assignments helped in understanding and absorbing the concepts. 
Having both videos and transcripts was useful for those with multiple learning styles.
Fahad and Alison were very helpful.",,,"Each module is available on a weekly basis only, so there is no opportunity to work ahead. The assignments can still be due on a weekly basis but students should be able to read/watch the next modules content if they finish the previous one early.",,,Consider making all the course modules available at the beginning of the term but releasing the assignments on a weekly basis as is already done.
594111,2019-07-15T12:20:37.474736,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Disagree,1,,Neutral,2,,80-90,4,,Required,0,,Less than 10 hours,1,,,,Online format and videos are well made,,,skims the surface of a few things without promoting a full understanding of any one,,,"My main issue with this class is the ISAs. Multiple times, I emailed them because my answers for assignments did not match the answers provided. It turned out that I was correct and the answers were wrong, but instead of informing me they just reuploaded different answers, therefore wasting my time. On other times they just would not answer my questions for a week. And my third issue is that they have posted that a module has been uploaded when it has clearly not been, therefore going against the course schedule and forcing me to rework my workload. Individually none of these things are a huge deal, however after I while I felt as if the ISAs did not care to perform well in their job or aid students, and I felt like I had to berate them into being helpful at all. Thanks. "
612293,2019-07-24T21:19:12.351831,Agree,3,,Agree,3,,Neutral,2,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,Agree,3,,80-90,4,,Elective,1,,Around 10 hours,2,,,,,,,,,,
610441,2019-07-24T14:04:23.492371,Neutral,2,,Agree,3,,,,,Agree,3,,Strongly Agree,4,,Agree,3,,Agree,3,,Agree,3,,Neutral,2,,Agree,3,,Agree,3,,Agree,3,,Above 90,5,,Required,0,,Around 10 hours,2,,,,,,,,,,
