mc_1,mcex_1,mc_2,mcex_2,mc_3,mcex_3,mc_4,mcex_4,mc_5,mcex_5,mc_6,mcex_6,mc_7,mcex_7,mc_8,mcex_8,mc_9,mcex_9,mc_10,mcex_10,mc_11,mcex_11,mc_12,mcex_12,mc_13,mcex_13,mc_14,mcex_14,mc_15,mcex_15,txt_1,txt_2,txt_3
3,,4,,4,,4,,4,,4,,5,,5,,3,,4,,4,,4,,6,,2,,2,,,,
4,,4,,5,,5,,4,,5,,4,,5,,3,,4,,4,,5,,4,,1,,4,,The modules are very informative,,
5,,5,,5,,5,,4,,5,,5,,5,,5,,5,,4,,5,,5,,2,,1,,The video tutorials to teach classes.,The html format websites as lessons. It was hard to read and makes it very uncomfortable to read.,"I would like to have the video tutorials for coding as well. I do not have any coding experience, and coding was the biggest challenge for me in this course."
3,,4,,5,,3,,4,,4,,4,,4,,3,,5,,4,,4,,5,,1,,1,,,,
5,,5,,,,5,,5,,5,,5,,5,,4,,5,,5,,5,,4,,2,,2,,,,
4,,4,,3,,4,,5,,4,,4,,4,,3,,4,,4,,4,,6,,2,,1,,,,
4,,5,,4,,5,,5,The modules where clearly shown and the subsections where titled well as well as displayed well,3,,5,I do prefer reading text instead of listening to videos and it makes learning much easier,4,It was nice to see how what we where learning was practical as well as enforcing that we where able to do it,1,I recieved no feedback on my assignments,5,,4,,5,Im not in CS or Math and this was probably one of the most important courses I took so far. It taught me everyday skills (especially excel) that I will use in my everyday life no matter what I do.,5,,2,Technically it was required for me for a time but I since I transferred programs I didn't need it. I am still glad I took this course,2,Depended heavily on the assignment. At the beginning (first 3 weeks) I spent maybe 1-3 hours each week on assignments. Near the end however while we where working on HTML I probably spent 5-8 hours on the course.,"I really valued learning the material since it showed how I will use it in everyday life. In my opinion, everyone should learn excel.","For his videos the instructor spoke too slow. This was fine for me because since it was a youtube video, I was able to set the speed a little faster.",Making both written and spoken module versions for the assignment.  Some of the modules I preferred to see the work being done while others I would of preferred to read it. Otherwise I have no complaints and think this is one of the most practical and useful courses I have taken so far. No matter where I end up I will still use some of these skills.
3,,3,,4,,3,,2,,4,,4,,3,,3,,3,,3,,4,,4,,2,,3,,,,
4,,4,,3,,4,,4,,4,,3,,4,,2,,3,,3,,4,,5,,2,,2,,,,
4,,4,,4,,4,,4,,2,,4,,4,,2,,3,,4,,4,,5,,2,,2,,,,
3,,1,,2,,2,,1,,2,,4,,4,,1,,3,,2,,4,,6,,2,,2,,,Extremely unorganized. Multiple assignments would have errors in them and would not be fixed for days. It was clear that material was being used from previous courses and no one was reviewing them before posting. There were multiple instances where I spent an unnecessary amount of time trying to do something to find out days later that there was an error in the instructions or answers. Overall felt like I was dealing with an incompetent or lazy course staff. Degraded the learning environment because of these mistakes.,Actually review and know the material for the course before giving students false information.
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,2,,2,,,,
4,,4,,4,,4,,5,,5,,5,,5,,3,,4,,4,,4,,5,,2,,2,,quizzes/assignments matched the weekly learning modules.,Some questions on quiz can be misleading/confusing. More transparency with regards to questions.,Some questions on quiz can be misleading/confusing. More transparency with regards to questions.
3,It would be helpful if IT instructors would speak and explain things in a simplified version. This course is an introduction to computing not an introduction to IT.,3,,3,,3,,2,Course information was fragmented and was far too advanced for an introductory course.,4,,4,,4,,3,The feedback was late in some instances and it was not taken into consideration that the students new nothing about the information they were learning.,4,,3,"It would be helpful if we could have feedback from the precious module.  Example: At this time I am on Module 10 and am just getting feedback from Module 6. Not having feedback from previous modules does not help me to achieve a better mark for the next module. Example:  There were 3 Modules devoted to Excel in this course and by the time I got feedback for the first Excel Module, I had already finished the 3rd part and had moved on to a completely different topic.",4,,6,,2,,5,,Understanding what goes on in the background when you are using a computer.,Consistent and timely feedback from assignments,"More explicit materials for learning. Videos so that you can see the changes that are happening, rather than text documentation. Transcripts need to be updated to proper sentences and in the first few modules"
4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,4,,5,,2,,1,,,,
3,,4,,5,,4,,4,,4,,5,,5,,3,It would be appreciated to get feedback sooner in order to learn for future assignments.,5,,4,,4,,5,,2,,1,,The assignments allowed us to apply the knowledge learned in the lectures.,The short answer questions were not always relevant to the material.,N/A
3,,3,,3,,3,,4,,3,,4,,4,,3,,3,,2,,3,,5,,2,,2,,,,
3,,5,,5,,5,,5,,5,,5,,5,,1,No verbal feedback was provided. Only a mark was provided.,5,,5,,5,,5,,2,,2,,,,
3,,3,,3,,2,,3,,3,,3,,3,,4,,4,,3,,2,,6,,1,,2,,,,
5,,5,,4,,4,,4,,4,,4,,4,,3,,5,,4,,4,,5,,1,,2,,Technology used,Nothing,Nothing really. Everything was done well.
,,,,4,,,,4,,4,,4,,4,,3,,5,,4,,3,,5,,2,,1,,Modules are straight forward,Some of the questions in the quizzes were poorly worded,
3,,4,,,,,,4,,4,,4,,4,,2,,4,,3,,4,,5,,2,,3,,,,
,,,,4,,3,,4,,4,,3,,3,,3,,4,,4,,3,,5,,2,,2,,Great application using the various softwares. It was a well-structured course and organized nicely.,"I felt the modules, especially for HTML, could have been more helpful and descriptive.","Provide more examples, especially ones that could be applicable to assignments in the modules."
5,,5,,5,,5,,5,,4,,4,,4,,2,It would be beneficial to add feedback on the mistakes we did on the Excel portions. It would be more helpful than the generic mistakes that were on assignments.,5,,5,,5,,5,,2,,1,,,,
3,,3,,3,,3,,4,,4,,4,,4,,2,,3,,4,,4,,5,,2,,2,,materials were presented in an organized manner [nl]concepts were not too confusing to understand,materials could be graded a bit faster,
5,,5,,,,5,,5,,5,,5,,5,,,I didn't receive any feedback other than grades.,5,,5,,5,,6,,2,,1,,The assignments force you to apply what you learned that week.,,"I would have liked more instruction on how to start some of the HTML/CSS assignments. I figured it out on my own, but it was stressful not knowing how to start an assignment."
4,,4,,5,,3,,5,,4,,4,,5,,3,,4,,4,,5,,5,,1,,3,,The lecture videos were amazing. They were engaging and very helpful.  The assignments really helped to show if I understood the content or not and I liked how there were different types of assignments for each module. The ISA's are amazing. They respond to emails fast and did everything they could to help me.,Assignment feedback wasn't quick enough.,Give quicker assignment feedback so I can use the feedback for assignments.
4,,4,,4,,4,,5,,3,,4,,4,,3,,4,,4,,4,,6,,2,,2,,Very applicable knowledge being taught. Lecture videos were clear and concise. Assignments were relevant and useful.,I think less Excel and more web design could be a more useful/applicable/interesting skill,"Some type of practice question or sample exam to prepare for the final as it is odd going from everything being online (lectures, assignments, quizzes, etc.) and being about computer programs (ex. Excel) to a fully written exam.[nl]***this could still be on its way so sorry if you did provide this before the final!***"
3,,3,,3,,2,,4,,3,,3,,4,,1,,3,,3,,2,,5,,1,,1,,,"write comments with our assignments giving students feedback, and not just a grade (without explaining where we lost the marks)",
4,,4,,4,,4,,5,,5,,5,,4,,4,,4,,4,,4,,6,,2,,2,,,,
5,,,,5,,5,,4,,5,,5,,5,,5,,5,,5,,5,,5,,2,,1,,Multiple examples. Assignments that related well to help build on my learning.,,
4,,4,,5,,5,,4,,4,,4,,4,,4,,3,,4,,4,,4,,2,,3,,,,
4,,4,,4,,4,,5,,4,,4,,4,,4,,4,,4,,4,,4,,2,Course modules and lessons need more info! Some lessons ie. HTML and CSS are vague and hard to apply in assignments without individual self-teaching and googling. Lessons need to be more detailed and need to explain concepts more in depth with more examples.,2,,-Course materials are very well organized and easy to find,Some modules and lessons are not detailed enough and are merely an overview that teach no real skill when it comes time to do assignment and apply concepts.,Add more content to lessons.
